"mic","trait","delta","lo","hi","excl0","pNA","method"
"1","mumax",-0.00751274160000004,-0.114787349,0.0967221636,FALSE,0,"pooled"
"1","ks",10.26640315,-5.50080584,26.6956483,FALSE,0,"pooled"
"1","affinity",-0.00437767617703595,-0.0102339742178305,0.00137414079771972,FALSE,0,"pooled"
"10","mumax",0.00288478349999999,-0.097142705,0.1089659491,FALSE,0,"pooled"
"10","ks",-7.265481565,-19.163323,4.8641317,FALSE,0,"pooled"
"10","affinity",0.00417558741030366,-0.00167501400103157,0.0103054371446056,FALSE,0,"pooled"
"11","mumax",-0.0368887791999999,-0.16185214,0.0602281680000001,FALSE,0,"pooled"
"11","ks",30.1865053,8.9961545,51.4562872,TRUE,0,"pooled"
"11","affinity",-0.0100004374948735,-0.0155510811787479,-0.00466196612629238,TRUE,0,"pooled"
"12","mumax",-0.000202772475000002,-0.100147172,0.1033027955,FALSE,0,"pooled"
"12","ks",-9.63794410000001,-22.488482,1.4064266,FALSE,0,"pooled"
"12","affinity",0.00572944334993176,-0.000530513746937897,0.0118069562788283,FALSE,0,"pooled"
"13","mumax",-0.000285511399999994,-0.105831352,0.105932875,FALSE,0,"pooled"
"13","ks",16.2652029,0.58128769999999,33.496924,TRUE,0,"pooled"
"13","affinity",-0.00614800919420221,-0.0118703625137731,-0.000694943670913422,TRUE,0,"pooled"
"14","mumax",0.0027337248999999,-0.097206476,0.108222872,FALSE,0,"pooled"
"14","ks",-6.7067989,-18.92009464,5.5565034,FALSE,0,"pooled"
"14","affinity",0.00378204852572274,-0.00212437650515564,0.0100382566077241,FALSE,0,"pooled"
"15","mumax",-0.02054291605,-0.133346376,0.0753226012699999,FALSE,0,"pooled"
"15","ks",-6.201036345,-19.8184162,5.93660869999999,FALSE,0,"pooled"
"15","affinity",0.00286941167092372,-0.003140311344482,0.00922383722414176,FALSE,0,"pooled"
"2","mumax",0.0180478437,-0.0789651419999999,0.1279517673,FALSE,0,"pooled"
"2","ks",0.186571149999999,-13.977113,13.583597,FALSE,0,"pooled"
"2","affinity",0.000330433230895428,-0.00560171966449124,0.00646947606171046,FALSE,0,"pooled"
"3","mumax",0.00134948550000014,-0.100113513,0.103634191,FALSE,0,"pooled"
"3","ks",-2.1213771,-15.3201578,11.0915771,FALSE,0,"pooled"
"3","affinity",0.00110652442530228,-0.00490219095885479,0.00722351001847011,FALSE,0,"pooled"
"4","mumax",-0.0413329025000001,-0.156233478,0.0564784120000001,FALSE,0,"pooled"
"4","ks",-0.015013549999999,-14.2935286,15.55916115,FALSE,0,"pooled"
"4","affinity",-0.000815521589367178,-0.00755013243032084,0.00535875447380279,FALSE,0,"pooled"
"5","mumax",0.01599278545,-0.082163363,0.126095331,FALSE,0,"pooled"
"5","ks",4.0438685,-9.8409394,18.9435142,FALSE,0,"pooled"
"5","affinity",-0.00149232269443162,-0.00726651336224471,0.00434084585983907,FALSE,0,"pooled"
"6","mumax",-0.0192855891,-0.134143085,0.07603491,FALSE,0,"pooled"
"6","ks",7.326621695,-8.4657693,23.3251688,FALSE,0,"pooled"
"6","affinity",-0.00354668109230207,-0.00952732569620607,0.00248573555871659,FALSE,0,"pooled"
"7","mumax",-0.0170734469,-0.124885527,0.0856637063900001,FALSE,0,"pooled"
"7","ks",6.42884655,-9.6635112,22.1239944,FALSE,0,"pooled"
"7","affinity",-0.00308102140676797,-0.00925182386826349,0.00294961028714539,FALSE,0,"pooled"
"8","mumax",0.00685443949999998,-0.0914047613000002,0.115533573,FALSE,0,"pooled"
"8","ks",0.990719600000002,-13.0714428,14.4966035,FALSE,0,"pooled"
"8","affinity",-0.000296217312498412,-0.00623045366637722,0.00563463199242904,FALSE,0,"pooled"
"9","mumax",-0.04372910565,-0.163144706,0.0503524449999999,FALSE,0,"pooled"
"9","ks",2.04891755,-12.1304911,17.3133845,FALSE,0,"pooled"
"9","affinity",-0.00175218307780351,-0.00775203665031339,0.00421503401501719,FALSE,0,"pooled"
"all","mumax",0.0902566992999999,-0.0162127715,0.2409683962,FALSE,0,"pooled"
"all","ks",24.26672115,6.4316314,44.15101,TRUE,0,"pooled"
"all","affinity",-0.00713000023457381,-0.012761920289753,-0.00194078627897813,TRUE,0,"pooled"
"1","mumax",0.0230285621666666,-0.1409793835,0.200051428666667,FALSE,0,"individual"
"1","ks",18.36327935,-5.32884542333334,45.6286093333333,FALSE,0,"individual"
"1","affinity",-0.0080431645802793,-0.0174389812225405,0.00174379919707275,FALSE,0,"individual"
"10","mumax",0.0127233628333334,-0.128400002333333,0.154084632333333,FALSE,0,"individual"
"10","ks",-6.38322666666667,-24.3192693333333,12.8554609,FALSE,0,"individual"
