"mic","trait","delta","lo","hi","excl0","pNA","method"
"1","Topt",0.0276683402539781,-0.159996938866058,0.288960164389991,FALSE,0,"pooled"
"1","r.max",0.0231574183740598,-0.0381451418086742,0.094237990275273,FALSE,0,"pooled"
"1","Tmin",-0.161915198288162,-1.14926674508265,0.660825584884216,FALSE,0,"pooled"
"1","Tmax",0.04559572064802,-0.0995201711551132,0.229233007825428,FALSE,0,"pooled"
"1","breadth",0.0704920738891026,-0.319870803573682,0.554740121162077,FALSE,0,"pooled"
"10","Topt",-5.11715052446959e-05,-0.259256077522622,0.21957391411663,FALSE,0,"pooled"
"10","r.max",0.0159784539961344,-0.0489625886871861,0.0822857682327447,FALSE,0,"pooled"
"10","Tmin",-0.225175633772827,-1.27700887055219,0.546880631013624,FALSE,0,"pooled"
"10","Tmax",0.0271339817930318,-0.122513085895662,0.20430970702531,FALSE,0,"pooled"
"10","breadth",0.0982702467661767,-0.29107842984126,0.60222564138229,FALSE,0,"pooled"
"11","Topt",0.0688654391585359,-0.121352256609754,0.479423000115407,FALSE,0,"pooled"
"11","r.max",-0.00108664907012268,-0.069903717157846,0.0734714754010093,FALSE,0,"pooled"
"11","Tmin",0.302940230587003,-0.494071053247403,1.72027342419911,FALSE,0,"pooled"
"11","Tmax",0.0204086702096973,-0.130540706410272,0.222821777347313,FALSE,0,"pooled"
"11","breadth",-0.134157170997133,-0.875675632705097,0.253721376348373,FALSE,0,"pooled"
"12","Topt",0.0270101449154083,-0.182494780001832,0.289433100260588,FALSE,0,"pooled"
"12","r.max",0.0120448607974214,-0.0506336918755945,0.0805251349106126,FALSE,0,"pooled"
"12","Tmin",0.00170200498215944,-0.835436155558084,0.977488890386073,FALSE,0,"pooled"
"12","Tmax",0.0221672058646334,-0.123887051713062,0.19799810931822,FALSE,0,"pooled"
"12","breadth",-0.00434211635592341,-0.46929454235616,0.41334439278231,FALSE,0,"pooled"
"13","Topt",0.0101358523799675,-0.220910223982109,0.25161129463099,FALSE,0,"pooled"
"13","r.max",-0.00297683428670514,-0.0724669370807201,0.0604132150424097,FALSE,0,"pooled"
"13","Tmin",0.066427083333064,-0.784688909183738,0.953596308774281,FALSE,0,"pooled"
"13","Tmax",0.00250944824286137,-0.142837356782515,0.175641302114613,FALSE,0,"pooled"
"13","breadth",-0.0248485580768794,-0.485396448268776,0.381752573917122,FALSE,0,"pooled"
"14","Topt",0.0254388596876751,-0.177353997926275,0.292206913788483,FALSE,0,"pooled"
"14","r.max",0.0156766845589978,-0.0429358706897993,0.0894119732813186,FALSE,0,"pooled"
"14","Tmin",-0.0770519652119517,-1.01652010312311,0.812597279039338,FALSE,0,"pooled"
"14","Tmax",0.0325940250031564,-0.114921385605868,0.216129858866026,FALSE,0,"pooled"
"14","breadth",0.0336137718332044,-0.446175795090657,0.440411325186993,FALSE,0,"pooled"
