"axis","trait","type","contrast","median","lo","hi","sig"
"salt","mu_max","microbe_vs_none","mic_4",-0.0445,-0.219,0.122,FALSE
"salt","mu_max","microbe_vs_none","mic_5",0.0941,-0.0604,0.243,FALSE
"salt","mu_max","microbe_vs_none","mic_6",0.0145,-0.113,0.138,FALSE
"salt","mu_max","microbe_vs_none","mic_7",-0.0111,-0.189,0.168,FALSE
"salt","mu_max","microbe_vs_none","mic_8",0.0165,-0.113,0.141,FALSE
"salt","mu_max","microbe_vs_none","mic_9",-0.115,-0.253,0.0222,FALSE
"salt","mu_max","community_vs_none","all",0.0964,-0.0581,0.25,FALSE
"salt","mu_max","emergent_mean","all - mean(15)",0.0943,-0.0264,0.214,FALSE
"salt","mu_max","emergent_sum","all - sum(15)",0.0484,-1.38,1.57,FALSE
"salt","s_lim","microbe_vs_none","mic_1",1.19,0.423,1.99,TRUE
"salt","s_lim","microbe_vs_none","mic_10",-0.229,-1.02,0.504,FALSE
"salt","s_lim","microbe_vs_none","mic_11",2.76,0.657,6.43,TRUE
"salt","s_lim","microbe_vs_none","mic_12",0.0642,-0.754,0.847,FALSE
"salt","s_lim","microbe_vs_none","mic_13",2.68,0.639,6.56,TRUE
"salt","s_lim","microbe_vs_none","mic_14",0.000247,-0.739,0.719,FALSE
"salt","s_lim","microbe_vs_none","mic_15",0.0279,-0.651,0.793,FALSE
"salt","s_lim","microbe_vs_none","mic_2",2.1,0.889,3.45,TRUE
"salt","s_lim","microbe_vs_none","mic_3",0.397,-0.317,1.13,FALSE
"salt","s_lim","microbe_vs_none","mic_4",1.99,0.129,4.94,TRUE
"salt","s_lim","microbe_vs_none","mic_5",-0.282,-1.01,0.464,FALSE
"salt","s_lim","microbe_vs_none","mic_6",-0.296,-0.988,0.461,FALSE
"salt","s_lim","microbe_vs_none","mic_7",0.682,-0.215,1.71,FALSE
"salt","s_lim","microbe_vs_none","mic_8",-0.115,-0.872,0.595,FALSE
"salt","s_lim","microbe_vs_none","mic_9",0.852,0.0261,1.67,TRUE
"salt","s_lim","community_vs_none","all",2.79,1.19,5.31,TRUE
"salt","s_lim","emergent_mean","all - mean(15)",1.93,0.406,4.47,TRUE
"salt","s_lim","emergent_sum","all - sum(15)",-9.5,-19.4,1.05,FALSE
"salt","salt_tol","microbe_vs_none","mic_1",0.452,0.18,0.727,TRUE
"salt","salt_tol","microbe_vs_none","mic_10",-0.0776,-0.31,0.175,FALSE
"salt","salt_tol","microbe_vs_none","mic_11",-0.0757,-0.394,0.254,FALSE
"salt","salt_tol","microbe_vs_none","mic_12",-0.0402,-0.306,0.232,FALSE
