"unique.id","temp","nit","salt","block","carbon.added","mic","plate","well","rep","mu","peak.RFU","time","n.points"
"b1.t14.p1.w1",14,1000,0,1,TRUE,"6",1,1,1,0.750624882990206,3955,5.93387731481481,10
"b1.t14.p1.w13",14,1000,0,1,TRUE,"12",1,13,3,0.166533554470617,2685,1.06311342592593,3
"b1.t14.p1.w18",14,1000,0,1,TRUE,"7",1,18,1,0.587238448594159,1053,5.93387731481481,10
"b1.t14.p1.w20",14,1000,0,1,TRUE,"all",1,20,2,0.615785083659735,1305,4.93763888888889,9
"b1.t14.p1.w25",14,1000,0,1,TRUE,"14",1,25,1,0.621006099708073,1300,5.93387731481481,10
"b1.t14.p1.w26",14,1000,0,1,TRUE,"14",1,26,3,0.606294002498509,1175,5.93387731481481,10
"b1.t14.p1.w30",14,1000,0,1,TRUE,"7",1,30,2,0.649109257997783,1228,5.93387731481481,10
"b1.t14.p1.w31",14,1000,0,1,TRUE,"12",1,31,2,0.110091578809199,1371,1.06311342592593,3
"b1.t14.p1.w32",14,1000,0,1,TRUE,"3",1,32,3,0.33590948207789,1199,2.99891203703704,7
"b1.t14.p1.w33",14,1000,0,1,TRUE,"4",1,33,3,0.632574770756169,1768,5.93387731481481,10
"b1.t14.p1.w34",14,1000,0,1,TRUE,"all",1,34,3,0.629294174687719,1281,5.93387731481481,10
"b1.t14.p1.w37",14,1000,0,1,TRUE,"10",1,37,1,0.607553867029008,1214,5.93387731481481,10
"b1.t14.p1.w39",14,1000,0,1,TRUE,"5",1,39,2,0.636944385081904,1391,5.93387731481481,10
"b1.t14.p1.w4",14,1000,0,1,TRUE,"2",1,4,3,0.0658858041700033,1344,1.06311342592593,3
"b1.t14.p1.w43",14,1000,0,1,TRUE,"3",1,43,2,0.736308559128439,2470,5.93387731481481,10
"b1.t14.p1.w45",14,1000,0,1,TRUE,"4",1,45,1,0.627890627324554,1278,5.93387731481481,10
"b1.t14.p1.w46",14,1000,0,1,TRUE,"6",1,46,3,0.642983292583976,1184,5.93387731481481,10
"b1.t14.p1.w5",14,1000,0,1,TRUE,"8",1,5,2,0.631188655269405,1697,5.93387731481481,10
"b1.t14.p1.w51",14,1000,0,1,TRUE,"11",1,51,3,0.355511628659186,241,4.08880787037037,8
"b1.t14.p1.w52",14,1000,0,1,TRUE,"8",1,52,1,0.408429678669394,1204,2.99891203703704,7
