"mic","trait","delta","lo","hi","excl0","pNA","method"
"1","mu_max",0.0436475473500001,-0.0742213633999997,0.1667415137,FALSE,0,"pooled"
"1","salt_tol",0.212353171165054,0.0400206683448328,0.421372068670276,TRUE,0,"pooled"
"1","s_lim",1.29459853229431,0.34343229208843,2.2621052607498,TRUE,0,"pooled"
"10","mu_max",0.0612492672,-0.0594961379999999,0.180186254,FALSE,0,"pooled"
"10","salt_tol",-0.0301315293756785,-0.212545725887959,0.113874952344956,FALSE,0,"pooled"
"10","s_lim",-0.0140650984991453,-0.814957332217221,0.76494606058738,FALSE,0,"pooled"
"11","mu_max",-0.1037759805,-0.2495751919,0.0285149070000001,FALSE,0,"pooled"
"11","salt_tol",0.0425446728060916,-0.155328702248038,0.217665389716982,FALSE,0,"pooled"
"11","s_lim",0.746663599547754,-0.338110934721112,1.87491235870555,FALSE,0,"pooled"
"12","mu_max",0.0165892836999999,-0.093558652,0.1375901629,FALSE,0,"pooled"
"12","salt_tol",-0.0291405350911894,-0.202557514306843,0.126362589495139,FALSE,0,"pooled"
"12","s_lim",-0.0453755170285981,-0.835085341342284,0.745474784457056,FALSE,0,"pooled"
"13","mu_max",0.02573396589,-0.1002717181,0.1403618615,FALSE,0,"pooled"
"13","salt_tol",0.225129523025025,0.0563743377161698,0.454844576136065,TRUE,0,"pooled"
"13","s_lim",2.10973343817328,0.74861225388831,3.66324492766171,TRUE,0.00025,"pooled"
"14","mu_max",0.002838546,-0.1128843349,0.123528311,FALSE,0,"pooled"
"14","salt_tol",-0.0207337134858188,-0.19565751166345,0.137198238511901,FALSE,0,"pooled"
"14","s_lim",-0.137677975616903,-0.923594045847763,0.608443372475215,FALSE,0,"pooled"
"15","mu_max",0.0273935530000001,-0.0828075914999999,0.14568908846,FALSE,0,"pooled"
"15","salt_tol",0.00350742609143939,-0.165343732844826,0.158702015082275,FALSE,0,"pooled"
"15","s_lim",0.0499189721574691,-0.712470635081173,0.878575888236943,FALSE,0,"pooled"
"2","mu_max",0.1017754329,-0.0199637725999999,0.2291098105,FALSE,0,"pooled"
"2","salt_tol",0.289303588000421,0.0918313178855437,0.512662827862685,TRUE,0,"pooled"
"2","s_lim",2.21055545470832,1.07896967018223,3.63449835417516,TRUE,0,"pooled"
"3","mu_max",0.0525984352,-0.0626782850000001,0.17067178687,FALSE,0,"pooled"
"3","salt_tol",0.0332214210446498,-0.125081240810788,0.204846573880133,FALSE,0,"pooled"
"3","s_lim",0.427261277341457,-0.403641374436152,1.28992769087147,FALSE,0,"pooled"
"4","mu_max",0.00314708349999993,-0.1180536536,0.125513752,FALSE,0,"pooled"
"4","salt_tol",0.198325684439604,0.0137319378252354,0.411935366980412,TRUE,0,"pooled"
"4","s_lim",1.8255815910239,0.643137912815185,3.30527674603033,TRUE,0.000125,"pooled"
"5","mu_max",0.04162691395,-0.0744291510000001,0.1666564357,FALSE,0,"pooled"
"5","salt_tol",-0.0499469180183694,-0.222071760242993,0.104649356863958,FALSE,0,"pooled"
"5","s_lim",-0.196789775702207,-0.972576875480826,0.556402620441923,FALSE,0,"pooled"
"6","mu_max",0.0204321915250002,-0.0882821491000001,0.1469609132,FALSE,0,"pooled"
"6","salt_tol",0.00121911180370671,-0.156982541349428,0.17304969394693,FALSE,0,"pooled"
"6","s_lim",-0.109700722374751,-0.903746249205888,0.65893753620395,FALSE,0,"pooled"
"7","mu_max",0.00949654519999998,-0.106856574,0.131301361,FALSE,0,"pooled"
"7","salt_tol",0.0823364065241651,-0.0751423765403547,0.272822004693631,FALSE,0,"pooled"
"7","s_lim",0.620773320042992,-0.264177287986496,1.49093323059075,FALSE,0,"pooled"
"8","mu_max",0.00887713179999994,-0.107593269,0.1265733896,FALSE,0,"pooled"
"8","salt_tol",-0.0370630186394484,-0.216834699109273,0.109910453873167,FALSE,0,"pooled"
"8","s_lim",-0.149065107994027,-0.953590104703514,0.593148413219899,FALSE,0,"pooled"
"9","mu_max",-0.034757368,-0.1590959425,0.0801463720000002,FALSE,0,"pooled"
"9","salt_tol",0.103952577192174,-0.0688924809356646,0.298512533070796,FALSE,0,"pooled"
"9","s_lim",0.719722027329293,-0.214005432778114,1.64248479742671,FALSE,0,"pooled"
"all","mu_max",0.07211356185,-0.0470315803999999,0.185199032,FALSE,0,"pooled"
"all","salt_tol",0.126405724598011,-0.0621580153487173,0.307730776901613,FALSE,0,"pooled"
"all","s_lim",1.61525701052257,0.436865469979763,2.95349489851092,TRUE,0,"pooled"
"1","mu_max",-0.0102113189833334,-0.141827980233333,0.129211085333333,FALSE,0,"individual"
"1","salt_tol",0.452207658038161,0.180011492571751,0.727104394897978,TRUE,0,"individual"
"1","s_lim",1.18800968615231,0.423041165627367,1.99259253463734,TRUE,0,"individual"
"10","mu_max",0.112917681116667,-0.0332356073,0.268014794333333,FALSE,0,"individual"
"10","salt_tol",-0.0776040781686133,-0.310350017440319,0.175341665946392,FALSE,0,"individual"
"10","s_lim",-0.229335596922524,-1.01922612929286,0.503952454703126,FALSE,0,"individual"
"11","mu_max",-0.152504918591667,-0.323697738266666,0.0485981984333335,FALSE,0,"individual"
"11","salt_tol",-0.0756710141859317,-0.394021912062497,0.253910687170361,FALSE,0,"individual"
"11","s_lim",2.75675374447068,0.657188119427765,6.43051725844902,TRUE,0.08625,"individual"
"12","mu_max",0.0345287060499999,-0.142854880333333,0.206574682,FALSE,0,"individual"
"12","salt_tol",-0.0402426384605783,-0.306051156575401,0.231807353266087,FALSE,0,"individual"
"12","s_lim",0.0641900942371381,-0.753842463905285,0.847313596857929,FALSE,0,"individual"
