"unique.id","loglin_slope","mu","temp"
"b1.t14.p1.w1",0.790951815597548,0.750624882990206,14
"b1.t14.p1.w13",0.0783907191639627,0.166533554470617,14
"b1.t14.p1.w18",0.683529406054433,0.587238448594159,14
"b1.t14.p1.w20",0.70242590258138,0.615785083659735,14
"b1.t14.p1.w25",0.747782391974296,0.621006099708073,14
"b1.t14.p1.w26",0.690198327815082,0.606294002498509,14
"b1.t14.p1.w30",0.697654189419487,0.649109257997783,14
"b1.t14.p1.w31",0.0215601118221243,0.110091578809199,14
"b1.t14.p1.w32",0.574595498773736,0.33590948207789,14
"b1.t14.p1.w33",0.707146654837898,0.632574770756169,14
"b1.t14.p1.w34",0.741435964707436,0.629294174687719,14
"b1.t14.p1.w37",0.669941993492212,0.607553867029008,14
"b1.t14.p1.w39",0.688875712543307,0.636944385081904,14
"b1.t14.p1.w4",-0.196335848865977,0.0658858041700033,14
"b1.t14.p1.w43",0.893327422088088,0.736308559128439,14
"b1.t14.p1.w45",0.684620169658213,0.627890627324554,14
"b1.t14.p1.w46",0.720628723169612,0.642983292583976,14
"b1.t14.p1.w5",0.703943926473415,0.631188655269405,14
"b1.t14.p1.w51",0.501187282093877,0.355511628659186,14
"b1.t14.p1.w52",0.590336587106753,0.408429678669394,14
"b1.t14.p1.w53",0.72577412447166,0.627910196839198,14
"b1.t14.p1.w55",0.692533974058164,0.598237015755542,14
"b1.t14.p1.w58",0.218089728720515,0.215266661954641,14
"b1.t14.p2.w101",0.591068600575685,0.414978426232348,14
"b1.t14.p2.w102",0.804873056359446,0.710705188772177,14
"b1.t14.p2.w103",0.700272419435574,0.635383388730387,14
"b1.t14.p2.w105",0.666997856566136,0.598849725486803,14
"b1.t14.p2.w106",0.810253425323052,0.686308167704611,14
"b1.t14.p2.w110",0.699768860656158,0.693541047413085,14
"b1.t14.p2.w112",0.721740601049967,0.60512565283484,14
"b1.t14.p2.w113",0.755033285754263,0.641461399663743,14
"b1.t14.p2.w115",0.708198884823059,0.641422268143107,14
"b1.t14.p2.w116",0.74046796382238,0.659270429671876,14
"b1.t14.p2.w119",0.716623408814794,0.608077253102513,14
