Row,Column,Well.ID,Chlamy (Y/N),Em1021 (dilution level),Em1022 (dilution level),Nutrient level (% enriched),Volume diluted Chlamy (µL),Volume OG COMBO (µL),V enriched COMBO (µL),Total V,,,,
A,1,A1,Y,0,0,5,100,90,10,200,,,,
A,2,A2,Y,0,0,5,100,90,10,200,,,,
A,3,A3,Y,0,0,5,100,90,10,200,,,,
A,4,A4,Y,0,0,5,100,90,10,200,,,,
A,5,A5,Y,0,0,10,100,80,20,200,,,,
A,6,A6,Y,0,0,10,100,80,20,200,,,,
A,7,A7,Y,0,0,10,100,80,20,200,,,,
A,8,A8,Y,0,0,10,100,80,20,200,,,,
A,9,A9,Y,0,0,50,100,0,100,200,,,,
A,10,A10,Y,0,0,50,100,0,100,200,,,,
A,11,A11,Y,0,0,50,100,0,100,200,,,,
A,12,A12,Y,0,0,50,100,0,100,200,,,,
B,1,B1,Y,0.01,0,5,100,90,0,190,,,,
B,2,B2,Y,0.01,0,5,100,90,0,190,,,,
B,3,B3,Y,0.01,0,5,100,90,0,190,,,,
B,4,B4,Y,0.01,0,5,100,90,0,190,,,,
B,5,B5,Y,0.01,0,10,100,80,10,190,,,,
B,6,B6,Y,0.01,0,10,100,80,10,190,,,,
B,7,B7,Y,0.01,0,10,100,80,10,190,,,,
B,8,B8,Y,0.01,0,10,100,80,10,190,,,,
B,9,B9,Y,0.01,0,50,100,0,90,190,,,,
B,10,B10,Y,0.01,0,50,100,0,90,190,,,,
B,11,B11,Y,0.01,0,50,100,0,90,190,,,,
B,12,B12,Y,0.01,0,50,100,0,90,190,,,,
C,1,C1,Y,0.1,0,5,100,90,0,190,,,,
C,2,C2,Y,0.1,0,5,100,90,0,190,,,,
C,3,C3,Y,0.1,0,5,100,90,0,190,,,,
C,4,C4,Y,0.1,0,5,100,90,0,190,,,,
C,5,C5,Y,0.1,0,10,100,80,10,190,,,,
C,6,C6,Y,0.1,0,10,100,80,10,190,,,,
C,7,C7,Y,0.1,0,10,100,80,10,190,,,,
C,8,C8,Y,0.1,0,10,100,80,10,190,,,,
C,9,C9,Y,0.1,0,50,100,0,90,190,,,,
C,10,C10,Y,0.1,0,50,100,0,90,190,,,,
C,11,C11,Y,0.1,0,50,100,0,90,190,,,,
C,12,C12,Y,0.1,0,50,100,0,90,190,,,,
D,1,D1,Y,1,0,5,100,90,0,190,,,,
D,2,D2,Y,1,0,5,100,90,0,190,,,,
D,3,D3,Y,1,0,5,100,90,0,190,,,,
D,4,D4,Y,1,0,5,100,90,0,190,,,,
D,5,D5,Y,1,0,10,100,80,10,190,,,,
D,6,D6,Y,1,0,10,100,80,10,190,,,,
D,7,D7,Y,1,0,10,100,80,10,190,,,,
D,8,D8,Y,1,0,10,100,80,10,190,,,,
D,9,D9,Y,1,0,50,100,0,90,190,,,,
D,10,D10,Y,1,0,50,100,0,90,190,,,,
D,11,D11,Y,1,0,50,100,0,90,190,,,,
D,12,D12,Y,1,0,50,100,0,90,190,,,,
E,1,E1,N,0,0,5,0,190,10,200,,,,
E,2,E2,N,0,0,5,0,190,10,200,,,,
E,3,E3,N,0,0,5,0,190,10,200,,,,
E,4,E4,N,0,0,5,0,190,10,200,,,,
E,5,E5,N,0,0,10,0,180,20,200,,,,
E,6,E6,N,0,0,10,0,180,20,200,,,,
E,7,E7,N,0,0,10,0,180,20,200,,,,
E,8,E8,N,0,0,10,0,180,20,200,,,,
E,9,E9,N,0,0,50,0,100,100,200,,,,
E,10,E10,N,0,0,50,0,100,100,200,,,,
E,11,E11,N,0,0,50,0,100,100,200,,,,
E,12,E12,N,0,0,50,0,100,100,200,,,,
F,1,F1,N,0.01,0,5,0,190,0,190,,,,
