"","block","Chlamy","mic","temp","well.ID","r.exp"
"101",1,"n","1",30,"11.4.1",-0.212801929124607
"102",1,"y","1",30,"14.1.10",1.55164411821312
"103",1,"y","1",30,"27.3.1",1.39869624931517
"104",1,"n","1",30,"27.3.6",-0.141700636624795
"105",1,"y","1",30,"27.4.8",1.15042979698162
"106",1,"n","1",30,"29.5.7",-0.135852145542132
"107",2,"y","1",30,"3.3.2",1.14080500239063
"108",2,"n","1",30,"5.4.7",1.07719738484624
"109",2,"y","1",30,"12.3.4",1.40955026127112
"110",2,"y","1",30,"13.6.3",1.84061593970908
"111",2,"n","1",30,"25.2.10",-0.162631580960228
"112",2,"n","1",30,"31.3.6",-0.148434271324208
"113",1,"y","1",33,"1.1.7",1.89254300517646
"114",1,"y","1",33,"1.2.1",1.99848281426618
"115",1,"n","1",33,"1.4.2",2.68410896183809
"116",1,"n","1",33,"2.1.5",-0.0648782467693585
"117",1,"n","1",33,"2.1.10",0.161226460577247
"118",1,"y","1",33,"2.3.4",1.71010425665845
"119",2,"n","1",33,"1.2.8",-0.182380293447432
"120",2,"n","1",33,"1.3.7",-0.129855869847179
"121",2,"n","1",33,"1.6.8",-0.196213591059154
"122",2,"y","1",33,"2.2.1",2.00285084451179
"123",2,"y","1",33,"2.3.1",1.91553114370922
"124",2,"y","1",33,"2.6.1",1.88135649993351
"125",1,"y","1",35,"1.1.9",2.34167158744031
"126",1,"n","1",35,"1.2.9",-0.122765251746451
"127",1,"y","1",35,"1.3.5",2.01508290849113
"128",1,"n","1",35,"1.5.9",-0.107181305461155
"129",1,"n","1",35,"2.3.2",0.272720086651412
"130",1,"y","1",35,"2.3.9",0.449808449787707
"131",2,"y","1",35,"1.1.10",2.41029948364152
"132",2,"n","1",35,"1.2.10",-0.112268858311102
"133",2,"y","1",35,"1.4.3",2.3444282791752
"134",2,"n","1",35,"1.4.6",-0.119339533478804
"135",2,"y","1",35,"2.2.8",2.03167773943616
"136",2,"n","1",35,"2.6.9",-0.152470607567432
"137",1,"y","1",39,"1.3.1",1.35998631737603
"138",1,"y","1",39,"2.1.7",1.88126052225114
"139",1,"n","1",39,"2.3.7",-0.110733230492501
"140",1,"n","1",39,"2.3.9",-0.121574376950538
"141",1,"y","1",39,"2.4.2",0.411585104042827
"142",1,"n","1",39,"2.5.3",-0.101986413737882
"143",2,"y","1",39,"1.3.6",1.12524043896161
"144",2,"n","1",39,"1.3.7",-0.0949185156041322
"145",2,"y","1",39,"2.1.5",1.03005865756883
