"","Block","Mic","Chlamy","Parameter","mean","Rhat","n.eff"
"65",1,"3","n","cf.tmax",29.5694251665572,1.12079402474914,21
"66",1,"3","n","deviance",-47.5522028898713,1.05582308010781,50
"67",2,"3","n","cf.a",0.0208433525868508,7.28174046715121,2
"68",2,"3","n","cf.b",-0.615477706390749,102.5074215547,2
"69",2,"3","n","cf.delta_t",12.5207814081879,28.7638622137018,2
"70",2,"3","n","cf.sigma",0.0375579206018275,1.02897375193138,61
"71",2,"3","n","cf.tmax",34.8805322040619,1.81246453405249,5
"72",2,"3","n","deviance",-102.546118957155,1.24799800075732,10
"73",2,"3","y","cf.a",0.0757094896444422,1.04185459745496,45
"74",2,"3","y","cf.b",-0.767525034119772,1.02238443636164,86
"75",2,"3","y","cf.delta_t",6.99606319300664,1.04736065712899,39
"76",2,"3","y","cf.sigma",0.43865084372105,1.00255736636493,1700
"77",2,"3","y","cf.tmax",43.4523594994516,1.00372928606624,470
"78",2,"3","y","deviance",30.371994753334,1.00313906200232,1800
"79",1,"4","y","cf.a",0.0640593847617829,1.09755121033128,21
"80",1,"4","y","cf.b",-0.886706812667945,1.05629786388068,33
"81",1,"4","y","cf.delta_t",6.53163902462049,1.08998159657759,22
"82",1,"4","y","cf.sigma",0.365921686516745,1.00060313763812,2000
"83",1,"4","y","cf.tmax",43.6314991789574,1.02937081390633,88
"84",1,"4","y","deviance",19.8675472678535,1.00249956758298,750
"85",1,"4","n","cf.a",0.0438238406890956,1.00473417460188,450
"86",1,"4","n","cf.b",-0.289341339176415,1.00221785785295,870
"87",1,"4","n","cf.delta_t",19.4737546723261,1.0211280282603,150
"88",1,"4","n","cf.sigma",0.853490897424828,1.00084991053648,2000
"89",1,"4","n","cf.tmax",33.5154899201687,1.00358294761518,710
"90",1,"4","n","deviance",66.5465624730491,1.00064118485349,2000
"91",2,"4","n","cf.a",0.0495876547290945,1.00638459877497,340
"92",2,"4","n","cf.b",-0.172781991748326,1.00590663170456,2000
"93",2,"4","n","cf.delta_t",20.6580250062381,1.00489452512156,2000
"94",2,"4","n","cf.sigma",0.537879104656644,1.00062565182957,2000
"95",2,"4","n","cf.tmax",32.806068347605,1.0007681453108,2000
"96",2,"4","n","deviance",41.4507551095102,1.00258106313093,720
"97",2,"4","y","cf.a",0.114742131291507,1.11767750368226,18
"98",2,"4","y","cf.b",-0.430355158460679,1.06431207435055,29
"99",2,"4","y","cf.delta_t",8.35724912137507,1.13597600791588,17
"100",2,"4","y","cf.sigma",0.319510284184296,1.00073652414633,2000
"101",2,"4","y","cf.tmax",43.2355061440966,1.05523585612717,34
"102",2,"4","y","deviance",13.5029398030746,1.00526634613334,430
"103",1,"5","n","cf.a",0.0456031490076362,1.00839149897597,300
"104",1,"5","n","cf.b",-0.169259017446023,1.02995894873057,340
"105",1,"5","n","cf.delta_t",22.3340403834025,1.02361443264749,2000
"106",1,"5","n","cf.sigma",0.600419139055704,1.00067099058047,2000
"107",1,"5","n","cf.tmax",27.4073025677021,1.00138367190337,2000
"108",1,"5","n","deviance",47.5778078521861,1.00359355825718,660
"109",1,"5","y","cf.a",0.0691216981182299,1.00073677862637,2000
"110",1,"5","y","cf.b",-0.967505268364299,1.00085098546355,2000
"111",1,"5","y","cf.delta_t",9.37893595493024,1.00096350456185,2000
"112",1,"5","y","cf.sigma",0.352635525234116,1.00049959542427,2000
"113",1,"5","y","cf.tmax",43.6171709917046,1.00056190125046,2000
"114",1,"5","y","deviance",18.5151873233376,1.0018238688741,1100
"115",2,"5","n","cf.a",0.0485384794136624,2.03841200688233,4
"116",2,"5","n","cf.b",-0.0973272720405575,1.00222853007862,870
"117",2,"5","n","cf.delta_t",22.3720166253542,2.03802747902796,4
"118",2,"5","n","cf.sigma",0.0265640823600799,1.00055415133826,2000
"119",2,"5","n","cf.tmax",28.1922059361574,1.00413769437658,1100
"120",2,"5","n","deviance",-116.577058516728,1.00065269432205,2000
"121",2,"5","y","cf.a",0.0943004313565106,1.57053270588139,6
"122",2,"5","y","cf.b",-0.599117566576218,1.29302080581722,11
"123",2,"5","y","cf.delta_t",7.8007270578214,1.67458013925586,5
"124",2,"5","y","cf.sigma",0.394529647114822,1.00466167143226,360
"125",2,"5","y","cf.tmax",43.3679650423368,1.03035190985347,58
"126",2,"5","y","deviance",25.0261030985893,1.01921203577127,84
"127",1,"6","n","cf.a",0.044802489981388,1.00975334956586,240
"128",1,"6","n","cf.b",-0.194098559123857,1.07106198030101,170
"129",1,"6","n","cf.delta_t",21.2072487184266,1.12960258889903,160
"130",1,"6","n","cf.sigma",0.699769022473183,1.00460222318619,370
"131",1,"6","n","cf.tmax",31.5493061031846,1.00603414544815,320
"132",1,"6","n","deviance",55.6058116910602,1.00717236295589,300
"133",1,"6","y","cf.a",0.0823283538746654,1.00515940726015,320
"134",1,"6","y","cf.b",-0.68963855003677,1.00355174494392,1200
"135",1,"6","y","cf.delta_t",9.9825680291721,1.02279094922987,950
"136",1,"6","y","cf.sigma",0.148776815854351,1.00051744112636,2000
"137",1,"6","y","cf.tmax",43.7210864199743,1.00983576774085,360
"138",1,"6","y","deviance",-27.2382197278527,1.00310438767814,580
"139",2,"6","n","cf.a",0.0475747754821101,1.10435907776608,22
"140",2,"6","n","cf.b",-0.0880777357624408,1.00053957247657,2000
"141",2,"6","n","cf.delta_t",21.9964090577396,1.10541064455962,22
"142",2,"6","n","cf.sigma",0.160646051066485,1.00365003453437,1200
"143",2,"6","n","cf.tmax",29.6283854211983,1.00055170170859,2000
"144",2,"6","n","deviance",-23.6050238642059,1.01341749373937,190
"145",2,"6","y","cf.a",0.0916427082787144,1.03627490071301,97
"146",2,"6","y","cf.b",-0.735218831663107,1.01610254594023,160
"147",2,"6","y","cf.delta_t",8.32644837757746,1.03939850569547,80
"148",2,"6","y","cf.sigma",0.388701662323974,1.00151958026563,1500
"149",2,"6","y","cf.tmax",43.4887691296758,1.00220931196005,880
"150",2,"6","y","deviance",22.1783115664182,1.00499020094119,430
"151",1,"7","y","cf.a",0.0722509475943207,1.00207656051773,950
"152",1,"7","y","cf.b",-0.767676437807071,1.005834169611,580
"153",1,"7","y","cf.delta_t",7.89748055987886,1.00051077559938,2000
"154",1,"7","y","cf.sigma",0.424278692090076,1.00050192169726,2000
"155",1,"7","y","cf.tmax",43.4900096698064,1.02139488222893,170
"156",1,"7","y","deviance",28.6000734134105,1.00065116864691,2000
"157",1,"7","n","cf.a",0.0264823102163132,5.22726264443862,2
"158",1,"7","n","cf.b",-0.646270992810086,21.0732279076984,2
"159",1,"7","n","cf.delta_t",11.2645060740751,17.2972722870519,2
"160",1,"7","n","cf.sigma",0.160968516790071,1.06740053332066,28
"161",1,"7","n","cf.tmax",36.2908489277991,1.75347094382353,5
"162",1,"7","n","deviance",-23.3752262377184,1.84043219908172,4
"163",2,"7","n","cf.a",0.0523257087349217,1.00221552701715,2000
"164",2,"7","n","cf.b",-0.0910953541683364,1.00067781458242,2000
"165",2,"7","n","cf.delta_t",21.2937287186039,1.00205340407774,2000
"166",2,"7","n","cf.sigma",0.113746261931745,1.00082646017523,2000
"167",2,"7","n","cf.tmax",28.2237391680764,1.00116002253694,2000
"168",2,"7","n","deviance",-42.1761916079304,1.00136435514857,2000
"169",2,"7","y","cf.a",0.0590016244345347,1.00437219567415,390
"170",2,"7","y","cf.b",-0.737906807221486,1.00135895640319,1700
"171",2,"7","y","cf.delta_t",6.45896886670651,1.00396623941044,430
"172",2,"7","y","cf.sigma",0.54416950780386,1.0004979267907,2000
"173",2,"7","y","cf.tmax",43.4475250834426,1.00052901899089,2000
"174",2,"7","y","deviance",42.0192957050671,1.00170041968424,1200
"175",1,"8","y","cf.a",0.0711497577887742,1.00420697065831,410
"176",1,"8","y","cf.b",-0.79517406127021,1.00857270692332,310
"177",1,"8","y","cf.delta_t",8.46637852106824,1.00101007296378,2000
"178",1,"8","y","cf.sigma",0.401900705187737,1.00051236274934,2000
"179",1,"8","y","cf.tmax",43.4709840917615,1.01179421748283,170
"180",1,"8","y","deviance",25.9229607663963,1.00223516095285,870
"181",2,"8","y","cf.a",0.0586759556238296,1.03890743233216,52
"182",2,"8","y","cf.b",-0.961681728305026,1.04115302588695,60
"183",2,"8","y","cf.delta_t",5.20467726066527,1.02429119355921,69
"184",2,"8","y","cf.sigma",0.419658601364259,1.00143353217762,1600
"185",2,"8","y","cf.tmax",43.5511384307715,1.04246399536802,74
"186",2,"8","y","deviance",25.7045559233573,1.0096455516264,170
"187",1,"9","y","cf.a",0.0724134763972192,1.03342103240481,56
"188",1,"9","y","cf.b",-0.793636607653473,1.02059141914825,79
"189",1,"9","y","cf.delta_t",8.25248201392026,1.033920656035,69
"190",1,"9","y","cf.sigma",0.39049974034609,1.00268198947904,690
"191",1,"9","y","cf.tmax",43.5574501586647,1.01932720840477,160
"192",1,"9","y","deviance",24.1201347530281,1.00246799345934,760
"193",1,"9","n","cf.a",0.0475174468604176,1.03374632274815,120
"194",1,"9","n","cf.b",-0.130809503796695,1.00086975400844,2000
"195",1,"9","n","cf.delta_t",22.7202700074778,1.03850696674725,110
"196",1,"9","n","cf.sigma",0.483642149128115,1.00105348270588,2000
"197",1,"9","n","cf.tmax",25.2230199502234,1.00532828037261,1800
"198",1,"9","n","deviance",35.8899029533155,1.00123619918572,2000
"199",2,"9","y","cf.a",0.0959619194632846,1.1282925147377,47
"200",2,"9","y","cf.b",-0.545216151677652,1.03312063681523,170
"201",2,"9","y","cf.delta_t",8.69072489080798,1.14678424675493,31
"202",2,"9","y","cf.sigma",0.319499628470441,1.00636318207594,390
"203",2,"9","y","cf.tmax",43.3968034704261,1.00197777798873,1000
"204",2,"9","y","deviance",12.340687283102,1.02820105843129,65
"205",2,"9","n","cf.a",0.0388053508529146,1.00708127674833,260
"206",2,"9","n","cf.b",-0.111866041540975,1.00160107243141,1400
"207",2,"9","n","cf.delta_t",25.7629137000976,1.00746249078195,250
"208",2,"9","n","cf.sigma",0.0428786188584309,1.00101726171828,2000
"209",2,"9","n","cf.tmax",25.6832793278355,1.00155382027572,1400
"210",2,"9","n","deviance",-95.1404832673168,1.00171726743455,1200
"211",1,"10","y","cf.a",0.0770593235217442,1.03612433746016,69
"212",1,"10","y","cf.b",-0.703135753506811,1.01923291942428,87
"213",1,"10","y","cf.delta_t",9.17725208266235,1.04420997462636,86
"214",1,"10","y","cf.sigma",0.336230223269856,1.0022973795539,840
"215",1,"10","y","cf.tmax",43.4970895924678,1.00552822374457,360
"216",1,"10","y","deviance",16.3116400981582,1.00241704320092,780
"217",1,"10","n","cf.a",0.0488089113325562,1.00050610526324,2000
"218",1,"10","n","cf.b",-0.166782154852599,1.00051350279435,2000
"219",1,"10","n","cf.delta_t",21.3880191567722,1.00055344275956,2000
"220",1,"10","n","cf.sigma",0.545557808305876,1.00051925179149,2000
"221",1,"10","n","cf.tmax",29.7015548321289,1.02306684860551,240
"222",1,"10","n","deviance",42.3032460941894,1.00075947567745,2000
"223",2,"10","n","cf.a",0.0460991395278585,1.00335516202267,530
"224",2,"10","n","cf.b",-0.0920495969916498,1.00718714391325,430
"225",2,"10","n","cf.delta_t",22.7077632122419,1.00208214635097,950
"226",2,"10","n","cf.sigma",0.270675953764014,1.00062271713021,2000
"227",2,"10","n","cf.tmax",28.971273662185,1.0013544336267,1800
"228",2,"10","n","deviance",4.41014404414172,1.00201856404255,990
"229",2,"10","y","cf.a",0.0837483656818453,1.12152325729557,25
"230",2,"10","y","cf.b",-0.756268982819467,1.04075894544558,64
"231",2,"10","y","cf.delta_t",8.29337879742509,1.15351090442586,18
"232",2,"10","y","cf.sigma",0.290930872787127,1.00070342213568,2000
"233",2,"10","y","cf.tmax",43.4884400034488,1.00477675542573,350
"234",2,"10","y","deviance",7.69886616614666,1.00705860087682,230
