"","block","mic","rep","id","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"1",1,"2",1,"b1.m2.r1",0.917573108563133,-6.27863716261691,7.01331330446271,0,42.940721356286,42.6546640159249,43.2969513678109,0,35.0965865522769,33.7897067324531,36.5776342398206,2.22644939810746,2.06946891319146,2.39820806025629,19.9953188714119,18.0765797261285,21.9641865545998,0,41.2493967679922,40.8004000657891,41.7761961777447,0,0.0383282973630878,-1.0358143553396,43.9691833494466,4.0044474558035,0.0382233484537081,-1.02335644663808,43.9843068229487,3.97589989882514
"2",1,"15",1,"b1.m15.r1",3.10203526803025,-5.07684448335204,9.77295972211174,0,42.3533246108067,41.3344683494268,43.138683067899,0,31.9392662699694,30.5859677587463,33.0326006249648,1.76161845867387,1.48187924174685,1.99914769973537,16.9722412913687,13.2184202229383,20.1025429305317,0,39.8966002727479,38.9163717830585,40.6809754516377,0,0.0485646650048581,-1.11409387777324,44.3126875617271,8,0.0486602142006886,-1.13419800135058,44.3009244284371,8
"3",1,"7",1,"b1.m7.r1",2.83855818856474,-1.00004721975386,5.87075674451751,0,42.838019038217,42.5485410059564,43.312534072836,0,32.3989092226325,31.8393857264297,32.9086068417509,1.79643565194639,1.69338878630411,1.91454302200543,17.1642438565492,15.4392553792915,18.5224682619595,0,40.3776025429239,40.0972194071177,40.8544855962505,0,0.047667773534407,-1.10075437370483,44.829120730497,8,0.0476552387048474,-1.09794828579646,44.8551354978527,8
"4",1,"4",2,"b1.m4.r2",2.7345717077392,-13.011209094965,11.8879001133863,0,42.6589627659969,41.6233513594555,43.6390907379813,0,34.0366110608337,31.7263835872973,36.3238732581723,1.7588515200455,1.40964543569873,2.10018427154925,19.13727731164,13.7170123186905,23.007305989461,0,40.7015020674756,39.3628094901666,41.687585740844,0,0.0373442186766771,-1.10279615257951,44.161825348075,4.98997655413293,0.0380692783935343,-1.16600521191195,44.2538103082651,5.16719410467585
"5",1,"14",3,"b1.m14.r3",4.52561607187975,1.43085970969133,8.17590272304407,0,43.0256672167922,42.4004856586596,43.4239184820162,0,32.7394502697985,32.1606503252797,33.2720958050712,1.80798871069466,1.65694322050798,1.92237465834247,17.9952709540366,16.5294392253678,19.7321290274368,0,40.6022619926916,39.9718580636105,40.9330900819002,0,0.0486405891109274,-1.18921470298236,45.1170330009886,8,0.0487325896051465,-1.20585715019078,45.0652238278622,8
"6",1,"1",3,"b1.m1.r3",2.51074592628164,-7.29825239362176,9.58440673032482,0,42.7560427126427,41.7028324004185,43.8416742643357,0,32.2925867826693,30.9147138648465,33.6720284704767,1.8454219754095,1.53258299731356,2.10692755152939,17.0150791634006,12.98389140049,20.5343712029057,0,40.3109795809536,39.2311131247557,41.297677405313,0,0.0484772325613923,-1.08341855968535,44.6670697861968,8,0.0484471693202858,-1.09574519320825,44.6625929109769,8
"7",1,"8",1,"b1.m8.r1",4.15505701159664,-2.33026893132451,8.47526406522247,0,42.883451368111,42.4314106832666,43.336904444065,0,33.4475241916406,32.3197562798958,34.779115470215,1.9323082826568,1.78008994741751,2.09906082795764,18.8261673686642,16.9183241672872,20.9143247182215,0,40.703306510616,40.0792984054327,41.1962563555639,0,0.0437614638219021,-1.18116343498686,44.5367099416396,6.25382643951777,0.0436988257061142,-1.18856851689408,44.5968565424957,6.30305516438314
"8",1,"2",2,"b1.m2.r2",3.1844344833537,-5.25086625793124,9.69169742805557,0,42.2691870083571,41.3540118331266,43.1444831617429,0,31.9879149056759,30.8045443481093,33.191096012728,1.91470611749898,1.63846420341556,2.21067565669458,17.1748434602566,13.5641858675479,20.3280104122057,0,39.8417428555076,38.9584411511793,40.7013928303854,0,0.0511973498265225,-1.11995741771205,44.1169037566438,8,0.0510636257619793,-1.12401099135399,44.082575983584,8
"9",1,"7",2,"b1.m7.r2",-3.15099564853568,-33.2656487045513,10.6199363089593,0,42.6365454493078,41.7223814442413,43.184167021437,0,34.8640307091678,32.0551665597923,37.9583792876722,1.82955847052195,1.37840852863573,2.11700587402157,18.2410375977411,10.4251126597555,24.6896219165406,0,40.9954034518532,39.824942672874,42.1134230339194,0,0.0327624910621271,-0.899758193891053,43.6779505855427,3.64956782286957,0.0327459778981868,-0.936767853843869,43.6816508330358,3.7863685061488
"10",1,"7",3,"b1.m7.r3",2.56228891386928,-2.67024704551913,6.62714302128381,0,42.747495234324,42.3775662756363,43.0686704979894,0,33.3985604877597,32.2874771749139,34.5789683809232,1.90191958850083,1.78078871742034,2.00843733739191,18.3593764443173,16.8829961796197,19.8635290952912,0,40.6346559145385,40.1225338410773,41.0245897361822,0,0.0413492384203774,-1.10205660427395,44.3747106960493,5.84051769964522,0.041295349453375,-1.1075313231577,44.3771069528273,5.8784434218315
