"","block","mic","rep","id","Parameter","est","se","p"
"1",1,"2",1,"b1.m2.r1","a",0.0382233484537081,0.00437100105483202,0.000324013496793511
"2",1,"2",1,"b1.m2.r1","b",-1.02335644663808,0.188812979533909,0.00289522240877442
"3",1,"2",1,"b1.m2.r1","tmax",43.9843068229487,0.428679732341266,1.66739295410245e-09
"4",1,"2",1,"b1.m2.r1","delta_t",3.97589989882514,1.14548419429767,0.0178314591077076
"5",1,"15",1,"b1.m15.r1","a",0.0486602142006886,0.0411794568300877,0.290473793424376
"6",1,"15",1,"b1.m15.r1","b",-1.13419800135058,0.284608344901852,0.0104772172377518
"7",1,"15",1,"b1.m15.r1","tmax",44.3009244284371,1.02334710828262,1.2412949926775e-07
"8",1,"15",1,"b1.m15.r1","delta_t",8,7.99120680264212,0.362734280261712
"9",1,"7",1,"b1.m7.r1","a",0.0476552387048474,0.0172275636878153,0.0395419912660861
"10",1,"7",1,"b1.m7.r1","b",-1.09794828579646,0.122546609105941,0.000288810367423286
"11",1,"7",1,"b1.m7.r1","tmax",44.8551354978527,0.548858736794739,5.19815781633196e-09
"12",1,"7",1,"b1.m7.r1","delta_t",8,3.56973238621125,0.0751142397403504
"13",1,"4",2,"b1.m4.r2","a",0.0380692783935343,0.0162704346828448,0.0663981349864943
"14",1,"4",2,"b1.m4.r2","b",-1.16600521191195,0.492702514803366,0.0642268922360752
"15",1,"4",2,"b1.m4.r2","tmax",44.2538103082651,1.43974871675954,6.84024151816377e-07
"16",1,"4",2,"b1.m4.r2","delta_t",5.16719410467585,4.28742875625504,0.282050010369819
"17",1,"14",3,"b1.m14.r3","a",0.0487325896051465,0.0204953653213303,0.0633422904142233
"18",1,"14",3,"b1.m14.r3","b",-1.20585715019078,0.141356586018411,0.000364332583492464
"19",1,"14",3,"b1.m14.r3","tmax",45.0652238278622,0.666320638063486,1.33812228820776e-08
"20",1,"14",3,"b1.m14.r3","delta_t",8,4.20906684889714,0.115765391851352
"21",1,"1",3,"b1.m1.r3","a",0.0484471693202858,0.047126534589689,0.351077177685185
"22",1,"1",3,"b1.m1.r3","b",-1.09574519320825,0.327716349731059,0.0204721536555236
"23",1,"1",3,"b1.m1.r3","tmax",44.6625929109769,1.34604573383376,4.6737562430915e-07
"24",1,"1",3,"b1.m1.r3","delta_t",8,9.44772098461181,0.435769370446561
"25",1,"8",1,"b1.m8.r1","a",0.0436988257061142,0.0104218117842903,0.00854689473100575
"26",1,"8",1,"b1.m8.r1","b",-1.18856851689408,0.220691904909202,0.00297667437650106
"27",1,"8",1,"b1.m8.r1","tmax",44.5968565424957,0.709422535052819,1.92810541205593e-08
"28",1,"8",1,"b1.m8.r1","delta_t",6.30305516438314,2.54983116274926,0.0563951168874084
"29",1,"2",2,"b1.m2.r2","a",0.0510636257619793,0.047047110534003,0.327292654507226
"30",1,"2",2,"b1.m2.r2","b",-1.12401099135399,0.303528432746067,0.0139537194838961
