"","block","mic","rep","id","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","c.mod","c.post","c.post.min","c.post.max","c.post.na","b.mod","b.post","b.post.min","b.post.max","b.post.na"
"1",1,"13",3,"b1.m13.r3",2,2.5,2.5,2.5,0,1.63411128536054,0.562669161087185,0,1.01694510701061,0,0.473882377526461,0.44113216721607,0.334558371626178,0.579349003525921,0
"2",1,"2",3,"b1.m2.r3",1.77113316637228,1.8936244441575,1.54608953564473,2.27113316637228,0,2.10035250251657,2.0864935640202,1.43297577027222,2.83581893530507,0,1.58012439340155,1.4852663892054,0.707658668597853,3.58012439340155,0
"3",1,"1",2,"b1.m1.r2",1.38003889784698,1.45286298835585,1.14256733530068,1.88003889784698,0,2.95878522663152,2.90313540719776,1.65971284173023,3.95811867187636,0,0.884403166910389,0.844817961379678,0.381497385345569,1.65876962241538,0
"4",1,"8",3,"b1.m8.r3",2,2.5,2.5,2.5,0,1.38772260128096,0.647326645898891,0.270281421764759,0.8991915403393,0,0.723862214160728,0.660314731651813,0.511491546610746,0.808918048198247,0
"5",1,"10",3,"b1.m10.r3",2,2.24160710719897,1.65930926372339,2.5,0,2.41490293568585,2.00712691518944,1.16665596794749,3.05528712525537,0,0.785392613954391,0.746768189909279,0.487339837108593,1.27592260305556,0
"6",1,"9",3,"b1.m9.r3",2,2.5,2.5,2.5,0,0.993620910467782,0.112286451912589,0,0.692951394781946,0,0.50701105673845,0.478218898698993,0.347852824285591,0.667507406324735,0
"7",1,"14",2,"b1.m14.r2",2,2.5,2.5,2.5,0,1.46327797654319,0.776044318061828,0.365271988710091,1.06231760205138,0,0.721103588487649,0.624253180683224,0.490024357996818,0.763910533740619,0
"8",1,"6",3,"b1.m6.r3",2,2.5,2.5,2.5,0,1.81487888968845,0.869423814921002,0.412958644048324,1.2330046003835,0,0.622092761425602,0.554496606211265,0.440034594268999,0.690454745887157,0
"9",1,"5",2,"b1.m5.r2",2,2.5,2.5,2.5,0,1.37265099029922,0.930189870738324,0.557620356998585,1.24686765321955,0,1.20712393723174,0.96947271545218,0.648969812291435,1.33858257998547,0
"10",1,"4",3,"b1.m4.r3",2,2.5,2.5,2.5,0,1.17952163998251,0.135844772938946,0,0.550683512788447,0,0.468647998422887,0.41490385052091,0.342493820660272,0.499898513884593,0
"11",1,"15",3,"b1.m15.r3",1.69700958203267,1.59277768245962,1.22496070611721,2.19700958203267,0,1.78305533383544,1.91527522485135,0.617290299858294,2.9948841853674,0,0.700760179211313,0.773627332453451,0.463004449641941,1.33197682959655,0
"12",1,"15",2,"b1.m15.r2",2,1.88488942141353,1.5254555768383,2.5,0,1.89461784746203,1.92866689632567,0.884432911346223,2.66184142655202,0,0.728634050969794,0.816024748965164,0.572531235474097,1.18756684635915,0
"13",1,"2",1,"b1.m2.r1",2,2.21237507847372,1.68591340850617,2.5,0,2.81011374109291,2.28544792893272,1.40005956939332,3.52673618634828,0,0.574220615805469,0.556543502186605,0.412498568326749,0.853873366365334,0
"14",1,"13",2,"b1.m13.r2",2,2.5,2.5,2.5,0,1.33783565033864,0.453091461943853,0,0.91732296271365,0,0.507416523815272,0.46955080909224,0.335164594339317,0.61262485455299,0
"15",1,"all",2,"b1.mall.r2",2,2.26912688136026,1.94153133669426,2.5,0,2.08375823162431,1.69134154859856,1.23232606973906,2.26848154815437,0,0.807604204124182,0.695018579004834,0.579331268701607,0.885262395168072,0
"16",1,"12",2,"b1.m12.r2",2,2.5,2.5,2.5,0,1.4213594846063,0.80319147582261,0.519255915070022,1.02767483720431,0,0.925732609274973,0.764162918731207,0.643491750795659,0.938038197404074,0
"17",1,"4",2,"b1.m4.r2",1.19121443588141,1.16032324503067,0.825918767765988,1.69121443588141,0,3.33459442279735,3.41352190162194,1.33459442279735,5.33459442279735,0,0.62870591821914,0.743735829784262,0.346043588676262,2.62870591821914,0
"18",1,"5",3,"b1.m5.r3",2,2.5,2.5,2.5,0,1.52424631039272,1.03763586408471,0.650974149577614,1.3747400736899,0,1.11122781539942,0.908069844176281,0.638017144759672,1.28773816360615,0
"19",1,"11",2,"b1.m11.r2",2,2.5,2.5,2.5,0,1.04407263770961,0.505304459433241,0.140083855944277,0.843426215173665,0,0.756698483798062,0.598904861216628,0.471477063528225,0.76905587810889,0
"20",1,"13",1,"b1.m13.r1",2,2.5,2.5,2.5,0,1.63133124632076,0.708306399912286,0.0726945707761163,1.20488780251138,0,0.545372868950579,0.487382835773669,0.366196459926045,0.661609826726015,0
"21",1,"all",3,"b1.mall.r3",1.54721968417093,1.66213097408839,1.39818045666039,2.04721968417093,0,2.4762609842954,2.46559584673965,1.69355308427878,2.97825181355647,0,1.43049003412422,1.2654870280932,0.615885562704359,2.90436638006217,0
"22",1,"6",2,"b1.m6.r2",2,2.5,2.5,2.5,0,1.4561597253259,0.7069589223804,0.209373990009404,1.14468515586585,0,0.721536343884466,0.66304208085051,0.468467333127418,0.917187050709908,0
"23",1,"9",1,"b1.m9.r1",2,2.5,2.5,2.5,0,1.38360252190652,0.783801014305634,0.245184327680506,1.20257587015224,0,0.725854842644691,0.635422222776766,0.445327373534628,0.888302332884913,0
"24",1,"12",3,"b1.m12.r3",1.81247002538027,1.86693670273366,1.45838039194746,2.31247002538027,0,2.15758559401806,2.14804333362802,1.25606303036096,2.95321247440929,0,0.996457927495101,0.995438042819457,0.48191112810558,2.05987356294478,0
"25",1,"10",1,"b1.m10.r1",1.56769922099527,1.55746217588502,1.27643253284806,2.06769922099527,0,2.28958911290274,2.2539568414831,1.17486919601721,3.08840041956458,0,0.809790697586696,0.828120095851222,0.494200399321301,1.38903209134629,0
"26",1,"all",1,"b1.mall.r1",2,2.5,2.5,2.5,0,1.95284905704907,1.226836795132,0.971960193785825,1.42503448716318,0,0.763329031158305,0.642392923610052,0.54450852951403,0.75189697437794,0
"27",1,"15",1,"b1.m15.r1",1.9741239872311,1.78465330737595,1.4741239872311,2.4741239872311,0,1.25428267257312,1.60521431441877,0,2.64571866121593,0,0.496222355066273,0.555006509317097,0.378579196400918,0.796583771722584,0
"28",1,"1",3,"b1.m1.r3",1.97785323951384,1.80825954713872,1.47785323951384,2.47785323951384,0,1.37274666566331,1.77549008927857,0,3.37274666566331,0,0.441685449149106,0.481179441132978,0.30190298907128,0.730829187082934,0
"29",1,"none",3,"b1.mnone.r3",2,2.5,2.5,2.5,0,1.35171933371305,0.924657322279312,0.605973071786837,1.22138744836625,0,1.35326484546656,1.13295191310174,0.743150378470399,1.58511752845612,0
"30",1,"7",3,"b1.m7.r3",2,2.5,2.5,2.5,0,1.38585292961657,1.04083797105185,0.540872024326758,1.42209289549947,0,1.14353232394703,0.949205033824751,0.599226947353,1.49336454211297,0
"31",1,"none",2,"b1.mnone.r2",2,2.5,2.5,2.5,0,1.2494286452878,0.472014971587326,0.0636876504509745,0.919577149529923,0,0.633258230364707,0.568940576532733,0.426855681027623,0.724408972939531,0
"32",1,"7",2,"b1.m7.r2",0.794328181781404,0.766013524119583,0.577751348660507,1.13501017885288,0,4.72730887878781,4.65619987572964,2.72730887878781,6.63043603677449,0,0.463801753631996,0.505581188189341,0.225479872283798,1.10813216075351,0
"33",1,"10",2,"b1.m10.r2",2,2.5,2.5,2.5,0,1.42541887991471,0.763183185714278,0.475757426996426,1.09172571835124,0,0.894058576006809,0.773378803596721,0.620392722902396,0.989517224710761,0
"34",1,"5",1,"b1.m5.r1",2,2.5,2.5,2.5,0,1.24460674319314,0.796653682458516,0.308647890715545,1.24015303014805,0,0.971966396443137,0.823907609534564,0.520805635588798,1.29758657587205,0
"35",1,"7",1,"b1.m7.r1",1.61863719035149,1.6260071674832,1.32358743434683,2.11863719035149,0,2.31177774400129,2.31782631185193,1.41802990472738,2.90337131014678,0,1.46128900537933,1.55615237273894,0.81177672195738,3.46128900537933,0
"36",1,"8",1,"b1.m8.r1",2,2.5,2.5,2.5,0,1.3351473096658,0.71242128698978,0.480079453832719,0.940659436794802,0,0.916684060414947,0.779993242279503,0.637299212003733,0.926553618612188,0
"37",1,"3",1,"b1.m3.r1",2,2.5,2.5,2.5,0,1.3877256044156,0.704163817658047,0.0857543394181959,1.23474750063605,0,0.64419644261138,0.587858165926678,0.393815435784809,0.82346636232641,0
"38",1,"9",2,"b1.m9.r2",1.93082891458987,1.6750044955203,1.43082891458987,2.28205920627688,0,0.60760148035563,1.1174064021771,0,1.71252824384736,0,0.540052359443382,0.605920211209767,0.476168663861373,0.807660297104831,0
"39",1,"6",1,"b1.m6.r1",1.93620265354587,1.78072065704901,1.43620265354587,2.43620265354587,0,1.89932817927492,1.97733147434451,0.857677918378028,2.91945514577283,0,0.829556016820238,0.957065651536292,0.471923511161625,1.92133260072103,0
"40",1,"11",3,"b1.m11.r3",2,2.17355075914187,1.5,2.5,0,0.707439487309444,0.4138009611461,0,2.13195295179034,0,0.587934776281844,0.612868984555899,0.352714043864056,0.99413844484186,0
"41",1,"4",1,"b1.m4.r1",2,2.5,1.5,2.5,0,1.44107392747232,0.829338501623524,0.150223782324174,2.69906431425331,0,0.568930351544635,0.543765877638693,0.379086233519926,0.830808571837776,0
"42",1,"14",3,"b1.m14.r3",1.87041560858955,1.65987880870264,1.37041560858955,2.37041560858955,0,1.71638908912157,1.91279103132049,0.637793572320734,2.79259804832983,0,0.653864164513683,0.774830908937681,0.490233878451167,1.14468106347296,0
"43",1,"3",2,"b1.m3.r2",2,2.33709312818336,1.5,2.5,0,1.8968559068037,1.44912603959913,0,3.29275842899995,0,0.639387877756118,0.64573255782833,0.297459277546362,1.30857119277158,0
"44",1,"12",1,"b1.m12.r1",2,2.5,2.5,2.5,0,1.88659947355179,1.1953405053808,0.899395468550621,1.51490225265366,0,0.868876664423094,0.754742731174781,0.585781255985245,0.946819422584925,0
"45",1,"2",2,"b1.m2.r2",2,2.5,2.5,2.5,0,1.43871759857859,0.312571978431634,0,0.885566973123005,0,0.422247641436822,0.397954401820486,0.287447209895372,0.53124331853146,0
"46",1,"11",1,"b1.m11.r1",2,2.5,2.5,2.5,0,0.789031460074239,0.201395007754586,0.103736917597051,0.357996789402716,0,0.838337598586329,0.710706576905665,0.635847762374657,0.785938290372947,0
"47",1,"none",1,"b1.mnone.r1",2,2.5,2.5,2.5,0,1.27504872123832,0.436940492841072,0,0.742861985346112,0,0.599904160764389,0.540360293903558,0.427805814636488,0.673649857194103,0
"48",1,"3",3,"b1.m3.r3",2,2.5,2.5,2.5,0,1.39373538205449,0.54538823357354,0,1.0424347209306,0,0.624999081941035,0.569018992985627,0.402537553112349,0.789877059435348,0
"49",1,"8",2,"b1.m8.r2",2,2.5,2.5,2.5,0,1.38908021371457,0.526865490252766,0.135265947146963,0.831797709395082,0,0.655881229465921,0.591275276397255,0.471316436146925,0.71921759147929,0
