"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"1",1,"all",1,"b1.mall","K_s",53.812734371909,1.00087075488646,6000
"2",1,"all",1,"b1.mall","deviance",3.48349148875242,1.00064125158483,6000
"3",1,"all",1,"b1.mall","r_max",1.64961309424744,1.00112380730581,5600
"4",1,"4",3,"b1.m4","K_s",19.4572903706213,1.00073270628164,6000
"5",1,"4",3,"b1.m4","deviance",-0.0304152673614251,1.0013410310347,4200
"6",1,"4",3,"b1.m4","r_max",1.21955993305241,1.00124082285743,4700
"7",1,"3",1,"b1.m3","K_s",22.3271326190999,1.00219701287211,2100
"8",1,"3",1,"b1.m3","deviance",0.20540497820861,1.00094840989818,6000
"9",1,"3",1,"b1.m3","r_max",1.48978952278426,1.00087781489209,6000
"10",1,"15",2,"b1.m15","K_s",16.5765354633849,1.00056081680389,6000
"11",1,"15",2,"b1.m15","deviance",2.9086859870801,1.00068084008053,6000
"12",1,"15",2,"b1.m15","r_max",1.45331567647417,1.00077222496569,6000
"13",1,"11",1,"b1.m11","K_s",45.5318096443989,1.00141987441317,3800
"14",1,"11",1,"b1.m11","deviance",13.1268300146938,1.00122444516842,4800
"15",1,"11",1,"b1.m11","r_max",1.21960937377793,1.00150146316792,3500
"16",1,"2",1,"b1.m2","K_s",28.9529820937195,1.000753685392,6000
"17",1,"2",1,"b1.m2","deviance",-5.19840773250091,1.00098379533892,6000
"18",1,"2",1,"b1.m2","r_max",1.58710002009795,1.00158958497657,3200
"19",1,"13",3,"b1.m13","K_s",49.1122435124442,1.00083762009941,6000
"20",1,"13",3,"b1.m13","deviance",-9.46685274560093,1.00136554511475,4000
"21",1,"13",3,"b1.m13","r_max",1.66195403146618,1.000894506106,6000
"22",1,"12",2,"b1.m12","K_s",17.8662114920899,1.00066236036421,6000
"23",1,"12",2,"b1.m12","deviance",5.72264640001935,1.00094187766576,6000
"24",1,"12",2,"b1.m12","r_max",1.67011978795131,1.00099378585357,6000
"25",1,"14",2,"b1.m14","K_s",20.5550309577645,1.00115214587185,5400
"26",1,"14",2,"b1.m14","deviance",-14.1315762732157,1.00177775918311,2700
"27",1,"14",2,"b1.m14","r_max",1.56778159085759,1.00234534128211,1900
"28",1,"10",3,"b1.m10","K_s",17.6464076980313,1.00080983605981,6000
"29",1,"10",3,"b1.m10","deviance",12.4425548770819,1.00066213238915,6000
"30",1,"10",3,"b1.m10","r_max",1.5197524999875,1.0011498113423,5400
"31",1,"7",3,"b1.m7","K_s",32.5909024108418,1.00105539523494,6000
"32",1,"7",3,"b1.m7","deviance",24.3021952146008,1.00081374590015,6000
"33",1,"7",3,"b1.m7","r_max",1.52776245828196,1.00081238401393,6000
"34",1,"none",3,"b1.mnone","K_s",27.5016111442831,1.00079187413136,6000
"35",1,"none",3,"b1.mnone","deviance",6.04744043702997,1.00149110952288,3500
"36",1,"none",3,"b1.mnone","r_max",1.58910104119101,1.0014297651036,3800
"37",1,"9",2,"b1.m9","K_s",25.3626297762889,1.00064758982202,6000
"38",1,"9",2,"b1.m9","deviance",-7.85299464558412,1.00104618181654,6000
"39",1,"9",2,"b1.m9","r_max",1.33552930356452,1.00083690414653,6000
"40",1,"5",3,"b1.m5","K_s",36.5378612531805,1.00179851240144,2700
"41",1,"5",3,"b1.m5","deviance",9.58003593009079,1.00244190042938,1800
"42",1,"5",3,"b1.m5","r_max",1.63508388040316,1.00157467521678,3300
"43",1,"1",2,"b1.m1","K_s",31.7828829646154,1.00113533708634,5500
"44",1,"1",2,"b1.m1","deviance",20.0749638387089,1.0011996963608,5000
"45",1,"1",2,"b1.m1","r_max",1.34769622459728,1.00091063498696,6000
"46",1,"8",3,"b1.m8","K_s",34.7740569729931,1.001656556429,3000
