"","block","Chlamy","mic","nit","well.ID","r.exp"
"116",2,"n","1",10,"1.4.6",-0.140622944794253
"117",2,"n","1",10,"2.4.8",-0.115426632204496
"118",2,"n","1",10,"8.6.1",-0.0558918732380928
"119",2,"y","1",10,"21.6.10",-0.0944204141754232
"120",2,"y","1",10,"27.3.9",-0.0926063781468544
"121",1,"n","1",1000,"11.4.1",-0.212801929448722
"122",1,"y","1",1000,"14.1.10",1.55164411878389
"123",1,"y","1",1000,"27.3.1",1.39869624841165
"124",1,"n","1",1000,"27.3.6",-0.14170063631065
"125",1,"y","1",1000,"27.4.8",1.15042979724966
"126",1,"n","1",1000,"29.5.7",-0.135852140698661
"127",2,"y","1",1000,"3.3.2",1.14080500242584
"128",2,"n","1",1000,"5.4.7",1.07719738467307
"129",2,"y","1",1000,"12.3.4",1.4095502605501
"130",2,"y","1",1000,"13.6.3",1.84061593077194
"131",2,"n","1",1000,"25.2.10",-0.162631580071194
"132",2,"n","1",1000,"31.3.6",-0.148434271098967
"133",1,"n","1",100,"10.3.8",-0.11125399493361
"134",1,"n","1",100,"16.1.3",-0.213380449269726
"135",1,"y","1",100,"18.6.2",1.24889600475008
"136",1,"y","1",100,"19.6.7",1.18884796977479
"137",1,"y","1",100,"28.4.4",0.612297571604399
"138",1,"n","1",100,"32.4.5",-0.119247675702819
"139",2,"n","1",100,"1.4.2",-0.0780055463875827
"140",2,"y","1",100,"13.1.9",1.95932373504451
"141",2,"y","1",100,"18.5.4",0.400521448130797
"142",2,"n","1",100,"21.1.2",-0.172090276148398
"143",2,"y","1",100,"30.3.3",1.87008042003414
"144",2,"n","1",100,"31.5.9",-0.150915971154943
"145",1,"y","1",5,"4.6.9",0.266932348379688
"146",1,"n","1",5,"14.1.4",-0.211048537278023
"147",1,"n","1",5,"15.3.6",-0.128939734720622
"148",1,"y","1",5,"20.1.5",0.165985148977971
"149",1,"y","1",5,"20.2.10",0.237493364019477
"150",1,"n","1",5,"32.3.7",-0.19022640635893
"151",2,"n","1",5,"5.4.2",-0.105158598300112
"152",2,"y","1",5,"9.5.5",-0.206461288471918
"153",2,"n","1",5,"12.4.7",-0.0947630903538304
"154",2,"n","1",5,"28.1.4",-0.117494923009339
"155",2,"y","1",5,"28.5.10",-0.0994532225308361
"156",2,"y","1",5,"32.4.9",-0.161566051617278
"157",1,"n","1",400,"2.2.4",-0.0420604885334363
"158",1,"n","1",400,"3.6.10",-0.130328881567407
"159",1,"y","1",400,"16.2.3",1.24675878850576
"160",1,"y","1",400,"16.2.9",0.0605095931404381
"161",1,"y","1",400,"27.3.2",1.3276712026868
"162",1,"n","1",400,"28.2.4",-0.135305616898121
"163",2,"y","1",400,"10.2.4",1.94201304932502
"164",2,"n","1",400,"12.3.2",-0.0607041150933892
"165",2,"y","1",400,"17.2.8",1.60742856955949
"166",2,"n","1",400,"17.3.7",-0.106127346397368
"167",2,"n","1",400,"20.2.7",-0.153697137297056
"168",2,"y","1",400,"23.6.9",1.82011439625005
"169",1,"y","1",700,"2.5.3",1.53364591966252
"170",1,"n","1",700,"8.2.9",-0.131506713725263
"171",1,"n","1",700,"17.2.3",-0.11450681517777
"172",1,"y","1",700,"19.1.4",1.60719716851753
"173",1,"n","1",700,"21.4.5",-0.222634297004825
"174",1,"y","1",700,"26.2.4",1.31254644213019
"175",2,"n","1",700,"4.1.9",-0.106333380640733
"176",2,"n","1",700,"7.3.9",-0.0555705052731503
"177",2,"y","1",700,"10.4.9",1.86514426618922
"178",2,"y","1",700,"14.2.6",1.88218978186648
"179",2,"n","1",700,"16.3.8",-0.109228539067423
"180",2,"y","1",700,"20.2.5",1.86400799639198
"181",1,"y","2",1,"1.5.3",-0.151497422313488
"182",1,"y","2",1,"8.5.1",0.220967790235572
"183",1,"y","2",1,"14.6.2",-0.231461800535396
"184",1,"n","2",1,"18.5.3",-0.247522676714444
"185",1,"n","2",1,"23.4.6",-0.29047526843751
"186",1,"n","2",1,"26.5.1",-0.143742554286866
"187",2,"n","2",1,"4.4.8",-0.161888101166396
"188",2,"y","2",1,"7.4.9",-0.085132271951803
"189",2,"y","2",1,"8.1.10",-0.101091294773262
"190",2,"y","2",1,"16.5.5",-0.1860944218864
"191",2,"n","2",1,"20.4.8",-0.13304851944956
"192",2,"n","2",1,"24.4.9",-0.110062083475654
