"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ","k","time"
"62","b1.t14.p1.w29",14,1000,0,1,"14",1,29,3,0.305014642834894,1.754,0.781122685185185
"63","b1.t14.p1.w38",14,1000,0,1,"1",1,38,2,0.258526587992641,1.401,0.781122685185185
"64","b1.t14.p1.w40",14,1000,0,1,"12",1,40,3,0.556596545145858,1.794,0.781122685185185
"65","b1.t14.p1.w41",14,1000,0,1,"5",1,41,2,0.624896772153275,1.861,0.781122685185185
"66","b1.t14.p1.w42",14,1000,0,1,"9",1,42,2,0.488103626471853,1.88,0.781122685185185
"67","b1.t14.p1.w44",14,1000,0,1,"15",1,44,1,0.697998481685795,1.854,0.781122685185185
"68","b1.t14.p1.w47",14,1000,0,1,"7",1,47,3,0.600890926893902,1.883,0.781122685185185
"69","b1.t14.p1.w50",14,1000,0,1,"all",1,50,2,0.274656140599392,1.472,0.781122685185185
"70","b1.t14.p1.w56",14,1000,0,1,"9",1,56,1,0.418883530364513,1.842,0.781122685185185
"71","b1.t14.p1.w57",14,1000,0,1,"13",1,57,3,0.639464507609319,1.842,0.781122685185185
"72","b1.t14.p1.w59",14,1000,0,1,"2",1,59,3,0.426216147408221,1.474,0.781122685185185
"73","b1.t14.p1.w60",14,1000,0,1,"all",1,60,3,0.365889588888002,1.835,0.781122685185185
"74","b1.t14.p2.w63",14,1000,0,1,"10",2,63,3,0.312363983578322,1.82,0.783622685185185
"75","b1.t14.p2.w66",14,1000,0,1,"6",2,66,3,0.150785619262527,1.567,0.783622685185185
"76","b1.t14.p2.w68",14,1000,0,1,"12",2,68,2,0.0914057370569683,1.246,0.783622685185185
"77","b1.t14.p2.w72",14,1000,0,1,"10",2,72,2,0.198255713575905,1.749,0.783622685185185
"78","b1.t14.p2.w73",14,1000,0,1,"11",2,73,2,0.182728757079206,1.695,0.783622685185185
"79","b1.t14.p2.w75",14,1000,0,1,"13",2,75,2,0.0859542475708946,1.686,0.783622685185185
"80","b1.t14.p2.w77",14,1000,0,1,"14",2,77,2,0.350983249496523,1.818,0.783622685185185
"81","b1.t14.p2.w80",14,1000,0,1,"4",2,80,2,0.002554440261839,1.041,0.783622685185185
"82","b1.t14.p2.w81",14,1000,0,1,"15",2,81,2,0.0404752111562944,1.784,0.783622685185185
"83","b1.t14.p2.w82",14,1000,0,1,"7",2,82,2,0.060832792608921,1.575,0.783622685185185
"84","b1.t14.p2.w83",14,1000,0,1,"9",2,83,3,0.321009241059844,1.841,0.783622685185185
"85","b1.t14.p2.w87",14,1000,0,1,"2",2,87,2,0.239393724852019,1.773,0.783622685185185
"86","b1.t14.p2.w88",14,1000,0,1,"all",2,88,1,0.310500644446727,1.677,0.783622685185185
"87","b1.t14.p2.w96",14,1000,0,1,"12",2,96,1,0.310973670465346,1.357,0.783622685185185
"88","b1.t14.p2.w97",14,1000,0,1,"14",2,97,1,0.294894278831299,1.847,0.783622685185185
"89","b1.t14.p2.w98",14,1000,0,1,"3",2,98,1,0.252546989763398,1.705,0.783622685185185
"90","b1.t14.p2.w100",14,1000,0,1,"1",2,100,3,0.129201585784633,1.134,0.783622685185185
"91","b1.t14.p2.w107",14,1000,0,1,"13",2,107,1,0.0307108058588062,1.603,0.783622685185185
"92","b1.t14.p2.w108",14,1000,0,1,"7",2,108,1,0.160050016606723,1.754,0.783622685185185
"93","b1.t14.p2.w109",14,1000,0,1,"3",2,109,2,0.119701083676957,1.627,0.783622685185185
"94","b1.t14.p2.w111",14,1000,0,1,"8",2,111,3,0.0366509452071909,1.387,0.783622685185185
"95","b1.t14.p2.w114",14,1000,0,1,"8",2,114,1,0.218016271005779,1.607,0.783622685185185
"96","b1.t14.p2.w118",14,1000,0,1,"11",2,118,1,0.169321031042124,1.799,0.783622685185185
"97","b1.t20.p1.w2",20,1000,0,1,"4",1,2,3,0.0908130838525997,1.952,0.725752314814815
"98","b1.t20.p1.w4",20,1000,0,1,"9",1,4,2,0.0448545055830143,1.549,4.88174768518518
"99","b1.t20.p1.w6",20,1000,0,1,"7",1,6,3,0.117015842536177,1.7,0.725752314814815
"100","b1.t20.p1.w7",20,1000,0,1,"7",1,7,2,0.115395655827918,1.836,0.725752314814815
"101","b1.t20.p1.w10",20,1000,0,1,"2",1,10,2,0.403090377557502,1.464,0.725752314814815
"102","b1.t20.p1.w15",20,1000,0,1,"6",1,15,1,-0.01116010302101,1.58,0.725752314814815
"103","b1.t20.p1.w16",20,1000,0,1,"3",1,16,2,0.0812280432102077,1.836,0.725752314814815
"104","b1.t20.p1.w22",20,1000,0,1,"all",1,22,1,0.120489881899564,1.712,2.93166666666667
"105","b1.t20.p1.w23",20,1000,0,1,"3",1,23,3,0.276763212664965,1.87,0.725752314814815
"106","b1.t20.p1.w24",20,1000,0,1,"12",1,24,1,-0.0188688887761399,1.85,0.725752314814815
"107","b1.t20.p1.w25",20,1000,0,1,"4",1,25,2,0.273618846689555,1.854,0.725752314814815
"108","b1.t20.p1.w28",20,1000,0,1,"3",1,28,1,0.160125350490264,1.459,0.725752314814815
"109","b1.t20.p1.w29",20,1000,0,1,"13",1,29,2,0.109502572280046,1.661,0.725752314814815
"110","b1.t20.p1.w44",20,1000,0,1,"9",1,44,3,0.443270501754769,1.826,0.725752314814815
"111","b1.t20.p1.w46",20,1000,0,1,"all",1,46,3,0.408299122089598,1.975,0.725752314814815
"112","b1.t20.p1.w52",20,1000,0,1,"11",1,52,2,0.2349902547907,1.314,0.725752314814815
"113","b1.t20.p1.w53",20,1000,0,1,"15",1,53,3,0.164214566787556,1.284,0.725752314814815
"114","b1.t20.p1.w59",20,1000,0,1,"5",1,59,3,0.149925899339192,0.809,0.725752314814815
"115","b1.t20.p2.w61",20,1000,0,1,"1",2,61,3,0.108981243187831,1.791,0.729050925925926
"116","b1.t20.p2.w66",20,1000,0,1,"10",2,66,2,0.163496987849373,1.612,1.79825231481481
"117","b1.t20.p2.w67",20,1000,0,1,"9",2,67,1,0.00616743878819015,0.915,1.79825231481481
"118","b1.t20.p2.w72",20,1000,0,1,"6",2,72,3,0.400119624789624,1.828,0.729050925925926
"119","b1.t20.p2.w74",20,1000,0,1,"8",2,74,3,0.207552413320356,1.355,0.729050925925926
"120","b1.t20.p2.w75",20,1000,0,1,"13",2,75,1,0.144971496808327,1.611,0.729050925925926
"121","b1.t20.p2.w79",20,1000,0,1,"2",2,79,3,0.0746612156434996,1.441,0.999965277777778
"122","b1.t20.p2.w82",20,1000,0,1,"4",2,82,1,0.16948092209304,1.748,0.729050925925926
"123","b1.t20.p2.w83",20,1000,0,1,"1",2,83,1,0.157435493439012,1.571,0.729050925925926
"124","b1.t20.p2.w84",20,1000,0,1,"1",2,84,2,0.523383193278624,1.897,0.729050925925926
"125","b1.t20.p2.w85",20,1000,0,1,"8",2,85,1,0.511709015237329,1.696,0.729050925925926
"126","b1.t20.p2.w86",20,1000,0,1,"14",2,86,3,0.204765678414842,1.581,0.729050925925926
"127","b1.t20.p2.w87",20,1000,0,1,"15",2,87,1,0.472162804014695,1.241,0.729050925925926
"128","b1.t20.p2.w89",20,1000,0,1,"11",2,89,3,0.467284957963508,1.384,0.729050925925926
"129","b1.t20.p2.w90",20,1000,0,1,"7",2,90,1,0.379472563829529,1.184,0.729050925925926
"130","b1.t20.p2.w91",20,1000,0,1,"13",2,91,3,0.61144785599457,1.859,0.729050925925926
"131","b1.t20.p2.w95",20,1000,0,1,"15",2,95,2,0.312862125246147,1.823,0.729050925925926
"132","b1.t20.p2.w97",20,1000,0,1,"14",2,97,2,0.408104468306596,1.442,0.729050925925926
"133","b1.t20.p2.w98",20,1000,0,1,"2",2,98,1,0.577590444802511,1.798,0.729050925925926
"134","b1.t20.p2.w100",20,1000,0,1,"5",2,100,1,0.375481594958943,1.45,0.729050925925926
"135","b1.t20.p2.w103",20,1000,0,1,"10",2,103,3,0.668037634998062,1.853,0.729050925925926
"136","b1.t20.p2.w104",20,1000,0,1,"12",2,104,2,0.572996802268355,1.737,0.729050925925926
"137","b1.t20.p2.w105",20,1000,0,1,"10",2,105,1,0.507241898610923,1.877,0.729050925925926
"138","b1.t20.p2.w107",20,1000,0,1,"14",2,107,1,0.246570938788016,1.41,0.729050925925926
"139","b1.t20.p2.w108",20,1000,0,1,"11",2,108,1,0.226432408571254,1.694,0.729050925925926
"140","b1.t20.p2.w109",20,1000,0,1,"12",2,109,3,0.0918844515285606,1.12,0.729050925925926
"141","b1.t20.p2.w110",20,1000,0,1,"all",2,110,2,0.495128474073193,1.584,0.729050925925926
"142","b1.t20.p2.w111",20,1000,0,1,"8",2,111,2,0.563215913574553,1.797,0.729050925925926
"143","b1.t20.p2.w114",20,1000,0,1,"6",2,114,2,0.352457398438043,1.744,0.729050925925926
"144","b1.t20.p2.w118",20,1000,0,1,"5",2,118,2,0.399464420237997,1.625,0.729050925925926
"145","b1.t25.p1.w3",25,1000,0,1,"14",1,3,1,0.475498369393173,1.832,0.721099537037037
"146","b1.t25.p1.w4",25,1000,0,1,"2",1,4,1,0.11602051378634,1.694,1.210625
