"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","aff.mod","aff.post","aff.min","aff.max","aff.na"
"1",1,"all",1,"b1.mall",53.812734371909,55.1204196443866,43.4747168648773,59.9989903010457,0,1.64961309424744,1.65146539170109,1.47186838075754,1.82697796484719,0,0.0185829620381085,0.0181420970025515,0.0166668420461825,0.0230016951269494,0
"2",1,"4",3,"b1.m4",19.4572903706213,17.9164878799596,6.9816123878235,35.4109472370564,0,1.21955993305241,1.21565855463315,1.02995449816154,1.41229353331294,0,0.0513946176960955,0.0558145120198084,0.0214269406025783,0.107113331045508,0
"3",1,"3",1,"b1.m3",22.3271326190999,21.5400426524967,11.1546813145434,35.6008744067851,0,1.48978952278426,1.48793064578119,1.31526763671914,1.67350685338618,0,0.0447885546729158,0.0464251647109248,0.0250252517481057,0.0782317057978452,0
"4",1,"15",2,"b1.m15",16.5765354633849,15.8484523632326,7.3669693095732,26.2552550594784,0,1.45331567647417,1.45205669031701,1.28382154319479,1.62547529719455,0,0.0603262365775317,0.0630976436848881,0.0313374751809736,0.106155028799358,0
"5",1,"11",1,"b1.m11",45.5318096443989,47.1043486315146,26.7200815658037,59.9920903013746,0,1.21960937377793,1.22171944364598,1.01769916945267,1.43674868694945,0,0.0219626675901957,0.0212294626809087,0.016668864094857,0.0374250354564709,0
"6",1,"2",1,"b1.m2",28.9529820937195,28.1857829403676,16.022258880192,43.7328087525932,0,1.58710002009795,1.58406407356268,1.42914321798004,1.76051563486147,0,0.0345387565523664,0.0354788796578815,0.0202808831339261,0.0551664787394729,0
"7",1,"13",3,"b1.m13",49.1122435124442,49.9856802449052,36.3629280752628,59.9998310161484,0,1.66195403146618,1.66396618909863,1.50879124638637,1.81837458150442,0,0.0203615214553702,0.0200057295587444,0.0166667136067576,0.0275005356535159,0
"8",1,"12",2,"b1.m12",17.8662114920899,17.2176295684059,9.50188203538643,28.2957668342186,0,1.67011978795131,1.66861589379808,1.48406272177957,1.85485231541203,0,0.0559715751961596,0.0580800044249254,0.0306809205722776,0.093862753913947,0
"9",1,"14",2,"b1.m14",20.5550309577645,20.0288272321649,12.2768712150882,29.1689995070705,0,1.56778159085759,1.56530676323472,1.43917100060599,1.71069963500766,0,0.0486498902412141,0.0499280356773036,0.0302645958821745,0.0718864220369779,0
"10",1,"10",3,"b1.m10",17.6464076980313,16.7071598366972,8.27994963942171,29.532022675291,0,1.5197524999875,1.51522855656405,1.32670497282395,1.72428321911271,0,0.056668757580137,0.0598545779045679,0.0267751678604997,0.10154936336777,0
"11",1,"7",3,"b1.m7",32.5909024108418,31.3425846156,13.1847535184311,57.2193686096018,0,1.52776245828196,1.52610601837421,1.25488241665921,1.79399428170555,0,0.0306834093574328,0.0319054734472858,0.0166711363492314,0.0659533418266084,0
"12",1,"none",3,"b1.mnone",27.5016111442831,26.5691243076215,13.002375726639,42.4602497912925,0,1.58910104119101,1.58636598817668,1.40084210195189,1.79779835403439,0,0.0363615060497237,0.0376376725444468,0.0190187836906289,0.0612171971236914,0
