"","block","mic","rep","id","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","c.mod","c.post","c.post.min","c.post.max","c.post.na","b.mod","b.post","b.post.min","b.post.max","b.post.na"
"1",1,"13",3,"b1.m13",1.84060769771566,1.87439921292253,1.56436558415965,1.99999219122806,0,1.87130395364523,1.81705107495478,1.20074291725982,2.68051430552268,0,0.539857642423079,0.531284403900874,0.405100024647576,0.405100024647576,0
"2",1,"2",3,"b1.m2",1.70513487984695,1.74458855410975,1.29829156817091,1.99980694491597,0,2.68769890752587,2.6272682631882,1.45826065703074,3.99814201335403,0,0.869071325676516,0.600254716346335,0.253287503129197,0.253287503129197,0
"3",1,"1",2,"b1.m1",1.68469106613033,1.6905768747618,1.38850997078889,1.99789274301839,0,2.28457221175906,2.27436029176503,1.52416378840016,3.12071822317223,0,0.652901119570783,0.629245796909227,0.44841290585716,0.44841290585716,0
"4",1,"8",3,"b1.m8",1.88485958869969,1.90776614281167,1.7004979733952,1.99999340161738,0,1.54563320413932,1.52528944279776,1.2062809772812,1.92649739692014,0,0.810814748197675,0.799020855465114,0.644675166662222,0.644675166662222,0
"5",1,"10",3,"b1.m10",1.80297095311351,1.8239276123774,1.54953642780997,1.99999409544399,0,2.10265240406193,2.07757611073074,1.60225805829753,2.69129203186481,0,0.883338295039987,0.841849775219368,0.577377412472298,0.577377412472298,0
"6",1,"9",3,"b1.m9",1.8062004899003,1.84566535872546,1.49474128563231,1.99996323615143,0,1.35399780446755,1.30312916012316,0.706313944839261,2.15089591336396,0,0.644923689604261,0.626501447398869,0.442856301172489,0.442856301172489,0
"7",1,"14",2,"b1.m14",1.88326300247935,1.90896925124827,1.68359730294508,1.99998042474046,0,1.63472106681958,1.61114953653137,1.23924423078756,2.06179219646668,0,0.791776391217915,0.77880184541418,0.608192392816418,0.608192392816418,0
"8",1,"6",3,"b1.m6",1.83774416624349,1.86565314014877,1.586882874958,1.99991208209266,0,1.95702999385876,1.92760284620527,1.46715709473345,2.55433421413495,0,0.784379127241491,0.763242162487762,0.552121346917375,0.552121346917375,0
"9",1,"5",2,"b1.m5",1.89821978961273,1.92163045254621,1.71657043614083,1.99997151030898,0,1.42407501151312,1.4012181275951,1.05305171119589,1.84671039211344,0,1.77865689824504,1.27434464426174,0.607619537377524,0.607619537377524,0
"10",1,"4",3,"b1.m4",1.56323865764509,1.55182172662848,1.20063339634615,1.99809633962622,0,2.24900145780594,2.27497073912283,0.991179899257621,3.38792022383617,0,0.62113067791908,0.583922741186226,0.362998433757409,0.362998433757409,0
"11",1,"15",3,"b1.m15",1.74352678261777,1.75961406186414,1.46349914645806,1.99996432969698,0,1.96867236945748,1.93335082208741,1.32785166347527,2.67323704095153,0,0.698708976827401,0.682136131066472,0.518452089214706,0.518452089214706,0
"12",1,"all",2,"b1.mall",1.8815918458394,1.89901225511205,1.70906692790675,1.99999420856259,0,2.13861852996909,2.12239098760866,1.81396686814671,2.51757659323239,0,0.850325863967094,0.835487465432366,0.6747094578499,0.6747094578499,0
