"","block","Chlamy","mic","salt","well.ID","r.exp"
"96",2,"n","1",2.67,"32.4.3",-0.13938949114527
"97",1,"y","1",8,"3.2.8",0.129831896681562
"98",1,"y","1",8,"13.3.9",0.0619245914919972
"99",1,"n","1",8,"14.3.3",-0.0989506600212886
"100",1,"n","1",8,"17.2.2",-0.17048297146048
"101",1,"y","1",8,"17.2.7",0.145274472067704
"102",1,"n","1",8,"19.5.2",-0.264303969189958
"103",2,"y","1",8,"1.3.5",0.206047424073236
"104",2,"y","1",8,"5.2.9",0.199520676385705
"105",2,"n","1",8,"15.4.9",-0.0503962232051438
"106",2,"n","1",8,"28.4.2",-0.11396323767092
"107",2,"y","1",8,"28.4.5",0.0182862088860141
"108",2,"n","1",8,"32.1.1",-0.207777850907773
"109",1,"n","1",0,"11.4.1",-0.212801929660624
"110",1,"y","1",0,"14.1.10",1.55164411575296
"111",1,"y","1",0,"27.3.1",1.39869624837869
"112",1,"n","1",0,"27.3.6",-0.141700636762175
"113",1,"y","1",0,"27.4.8",1.15042979775716
"114",1,"n","1",0,"29.5.7",-0.135852146715211
"115",2,"y","1",0,"3.3.2",1.14080500237257
"116",2,"n","1",0,"5.4.7",1.07719738480117
"117",2,"y","1",0,"12.3.4",1.4095502613828
"118",2,"y","1",0,"13.6.3",1.84061593995115
"119",2,"n","1",0,"25.2.10",-0.162631741320443
"120",2,"n","1",0,"31.3.6",-0.148434271468032
"121",1,"y","1",4,"1.2.9",0.306074835901428
"122",1,"n","1",4,"12.1.10",-0.130631029059707
"123",1,"n","1",4,"14.6.3",-0.145206276525479
"124",1,"y","1",4,"18.3.7",0.42238141064822
"125",1,"y","1",4,"30.4.6",0.178993798809592
"126",1,"n","1",4,"32.1.4",-0.121588819874899
"127",2,"y","1",4,"1.6.3",0.400519013820611
"128",2,"n","1",4,"13.4.4",-0.21156844289282
"129",2,"y","1",4,"17.5.8",0.357675583359785
"130",2,"n","1",4,"22.6.9",-0.13068020553469
"131",2,"n","1",4,"25.3.6",-0.0850511869445976
"132",2,"y","1",4,"29.6.3",0.234554161755301
"133",1,"n","1",12,"3.3.3",-0.0350210874013603
"134",1,"y","1",12,"25.4.1",-0.0965669872488946
"135",1,"n","1",12,"30.4.4",-0.130205742512591
"136",1,"y","1",12,"30.5.2",-0.197909216719474
"137",1,"n","1",12,"32.5.4",-0.136553217231297
"138",1,"y","1",12,"32.6.3",-0.158668670021562
"139",2,"y","1",12,"4.5.10",-0.212808643972571
"140",2,"n","1",12,"15.2.4",-0.101283077453487
"141",2,"n","1",12,"18.5.8",-0.150215588878773
"142",2,"y","1",12,"25.5.3",-0.120095054099587
"143",2,"y","1",12,"31.1.9",-0.173442000837594
"144",2,"n","1",12,"31.2.3",-0.112960504030832
