"","block","mic","rep","id","K.s.mod","K.s.post","K.s.min","K.s.max","K.s.na","r.max.mod","r.max.post","r.max.min","r.max.max","r.max.na","R.post","R.min","R.max","R.na"
"1",1,"all",1,"b1.mall.r1",250.468376225883,307.269160093593,118.066225510687,733.001889021101,0,2.1268442270496,2.17718520486235,1.69291841883781,3.1268442270496,0,104.782624340041,59.6819219677607,173.938791885124,0
"2",1,"4",3,"b1.m4.r3",33.2413105405628,35.209928935364,11.7742941134274,66.1261456245208,0,1.46130485649528,1.45474176287687,1.23601349633596,1.69818613295217,0,22.1631277128664,10.0489090246217,38.2801241215925,0
"3",1,"3",1,"b1.m3.r1",17.0157908959455,17.5597408572529,8.18118386825765,31.2021805451829,0,1.68323318232549,1.68825478735657,1.45325999103371,1.89373829120472,0,8.80045433317544,5.03828445569848,14.6689025116524,0
"4",1,"15",2,"b1.m15.r2",19.141584013689,19.2140465747279,6.48607689151269,40.4022278662128,0,1.49159311512184,1.51403392126317,1.25695110845587,1.76466393998957,0,11.1707101339389,4.88940751134512,21.8682263705062,0
"5",1,"11",1,"b1.m11.r1",110.832059076635,122.976151974488,25.6170427690118,342.060319270748,0,1.42113007730884,1.42181140484816,1.03164791952212,2.01809840553232,0,81.310671666506,25.1697071315978,149.165741837759,0
"6",1,"2",1,"b1.m2.r1",16.589430088411,16.7205903999562,8.47243065653597,28.4514543418041,0,1.56633854323764,1.56361843349193,1.39157235591594,1.76341085607759,0,9.37400346504941,5.48709599933054,14.8641032257996,0
"7",1,"13",3,"b1.m13.r3",67.5240442752156,69.4643463261917,40.2732496499851,110.005245994403,0,1.80257967119035,1.8054742015131,1.60286125862235,2.05161861974431,0,31.2058653990273,19.4547602245583,44.249702902587,0
"8",1,"2",3,"b1.m2.r3",59.3677712099815,65.109359833638,40.4940513947423,96.8560150161087,0,1.89245776095852,1.86489222884659,1.66680842717062,2.0682460038273,0,27.8927373039136,19.037147688891,37.7515934296152,0
"9",1,"12",2,"b1.m12.r2",13.044053234986,13.5455721583072,7.92783305562934,20.49502997248,0,1.59982970301479,1.5949029630644,1.45314455555758,1.74974256890384,0,7.32991607913864,4.67991725925722,10.4922315126964,0
"10",1,"14",2,"b1.m14.r2",26.0843455578735,26.3340701265576,12.608582459801,44.011409347513,0,1.57639136334754,1.57589758915676,1.3729099431983,1.78998386877513,0,14.596559526427,8.35130842563992,22.5776663387432,0
"11",1,"11",2,"b1.m11.r2",94.6544857800664,88.2936002059332,5.81627622213498,534.8567674987,0,1.21451576199823,1.26760972662128,0.834868992144782,2.21451576199823,0,74.5285878530697,19.6221728281564,238.999785480684,0
"12",1,"10",3,"b1.m10.r3",15.0041551668486,16.1271093383274,2.18332824060471,40.5845337268916,0,1.70307452219898,1.66623641993752,1.33236117367468,2.10730421532075,0,8.22538408116297,2.18315129483596,18.3234743532696,0
"13",1,"7",3,"b1.m7.r3",75.78743290753,63.9368082754036,6.35799728225967,277.859739648979,0,1.71190583195138,1.8086824904262,1.25791080830396,2.71190583195138,0,29.808300602524,6.99884532423194,90.8760600138593,0
"14",1,"3",3,"b1.m3.r3",30.7075260868878,32.0415824312229,15.2420318827925,54.1824681395845,0,1.4520928082165,1.43502577003457,1.2368251643531,1.63124311326891,0,20.7603444697969,11.9011501976042,32.073604592978,0
"15",1,"none",3,"b1.mnone.r3",16.973404062923,16.7210066293954,3.96922129412616,40.9987077725652,0,1.66975594984688,1.69367230181043,1.37607624426888,2.0971708034803,0,8.25136395812565,2.69200608272929,17.4825502794373,0
