"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"1",1,"2",1,"b1.m2","a",0.0599938830423432,1.00089763386406,6000
"2",1,"2",1,"b1.m2","b",-1.15662041664457,1.00134880131269,4100
"3",1,"2",1,"b1.m2","d.t",8.81277751326469,1.00091440371334,6000
"4",1,"2",1,"b1.m2","tmax",44.6386500141819,1.00098542302965,6000
"5",1,"15",1,"b1.m15","a",0.0538193347634626,1.00074155706703,6000
"6",1,"15",1,"b1.m15","b",-0.996140214831361,1.00057024822001,6000
"7",1,"15",1,"b1.m15","d.t",9.24653853656023,1.000720286853,6000
"8",1,"15",1,"b1.m15","tmax",44.5032892498043,1.00082070171505,6000
"9",1,"7",1,"b1.m7","a",0.055764967398935,1.00070367764186,6000
"10",1,"7",1,"b1.m7","b",-1.0797209176561,1.00168482546974,3000
"11",1,"7",1,"b1.m7","d.t",8.90918517685349,1.00086803264623,6000
"12",1,"7",1,"b1.m7","tmax",44.7544196089057,1.00144197242131,3700
"13",1,"4",2,"b1.m4","a",0.0565817371991168,1.00092750168853,6000
"14",1,"4",2,"b1.m4","b",-1.12371070792036,1.00075609893359,6000
"15",1,"4",2,"b1.m4","d.t",8.97858357446502,1.00078250957884,6000
"16",1,"4",2,"b1.m4","tmax",44.8112026131227,1.00118806615544,5100
"17",1,"14",3,"b1.m14","a",0.0591295318747076,1.00075664653059,6000
"18",1,"14",3,"b1.m14","b",-1.10791348849953,1.00064379018043,6000
"19",1,"14",3,"b1.m14","d.t",9.04105939518136,1.0007780127453,6000
"20",1,"14",3,"b1.m14","tmax",44.5504894527485,1.00131441196826,4300
"21",1,"1",3,"b1.m1","a",0.0545935063682838,1.00090919224346,6000
"22",1,"1",3,"b1.m1","b",-1.03858296926743,1.00081536381698,6000
"23",1,"1",3,"b1.m1","d.t",8.96843465581921,1.00080832092305,6000
"24",1,"1",3,"b1.m1","tmax",44.7898653731421,1.00118032737826,5100
"25",1,"8",1,"b1.m8","a",0.0586860960267426,1.00064920799921,6000
"26",1,"8",1,"b1.m8","b",-1.08919611960814,1.00151149721387,3500
"27",1,"8",1,"b1.m8","d.t",9.01574316744344,1.00074641640824,6000
"28",1,"8",1,"b1.m8","tmax",44.3830695285386,1.00123181811153,4800
"29",1,"12",2,"b1.m12","a",0.0616657083648084,1.00165901211014,3000
"30",1,"12",2,"b1.m12","b",-1.21282814804339,1.00113901500337,5500
"31",1,"12",2,"b1.m12","d.t",8.9996275677313,1.00130892671362,4300
"32",1,"12",2,"b1.m12","tmax",44.4995919324908,1.00147408373567,3600
"33",1,"none",2,"b1.mnone","a",0.0567187073484056,1.00067875715571,6000
"34",1,"none",2,"b1.mnone","b",-1.02054766862928,1.00087354117111,6000
"35",1,"none",2,"b1.mnone","d.t",9.19487566392622,1.00071495496776,6000
"36",1,"none",2,"b1.mnone","tmax",44.1665761500885,1.00106569626986,6000
"37",1,"11",3,"b1.m11","a",0.0616594987464184,1.001047929238,6000
"38",1,"11",3,"b1.m11","b",-1.45916208962632,1.00172286957651,2900
"39",1,"11",3,"b1.m11","d.t",8.63855852245972,1.00116979669443,5200
"40",1,"11",3,"b1.m11","tmax",44.9439901014763,1.00186384767492,2600
"41",1,"10",1,"b1.m10","a",0.0547141399934775,1.00065075914397,6000
"42",1,"10",1,"b1.m10","b",-0.997510689579942,1.00064376537892,6000
"43",1,"10",1,"b1.m10","d.t",9.17740104110053,1.00100732626428,6000
"44",1,"10",1,"b1.m10","tmax",44.4103481107063,1.0009406485245,6000
"45",1,"9",2,"b1.m9","a",0.0579694465907254,1.00146330983582,3600
"46",1,"9",2,"b1.m9","b",-1.12335974567237,1.00104967436167,6000
"47",1,"9",2,"b1.m9","d.t",8.98924066918404,1.00154387902197,3400
"48",1,"9",2,"b1.m9","tmax",44.5967750758336,1.000999251628,6000
"49",1,"all",3,"b1.mall","a",0.0619605010128267,1.00120712261539,4900
"50",1,"all",3,"b1.mall","b",-1.24578530549524,1.00094608295754,6000
"51",1,"all",3,"b1.mall","d.t",8.66962151968708,1.00087247224869,6000
"52",1,"all",3,"b1.mall","tmax",44.5596942983061,1.00138899876504,3900
"53",1,"3",3,"b1.m3","a",0.0577012740187168,1.00096391336764,6000
"54",1,"3",3,"b1.m3","b",-1.09516141897965,1.00108639209397,6000
"55",1,"3",3,"b1.m3","d.t",8.96864104121811,1.00131973943526,4300
"56",1,"3",3,"b1.m3","tmax",44.6885236183388,1.0006741977812,6000
"57",1,"6",3,"b1.m6","a",0.0542621720501819,1.00318355782027,1300
"58",1,"6",3,"b1.m6","b",-1.07781803194692,1.00195723036519,2400
"59",1,"6",3,"b1.m6","d.t",8.58061764076432,1.00341854332885,1200
"60",1,"6",3,"b1.m6","tmax",44.6489732531202,1.00123848723841,4700
"61",1,"13",2,"b1.m13","a",0.0578663667400289,1.00103855529427,6000
"62",1,"13",2,"b1.m13","b",-1.07753855728947,1.00075871963834,6000
"63",1,"13",2,"b1.m13","d.t",9.20061392212067,1.0011799244538,5100
"64",1,"13",2,"b1.m13","tmax",44.358380921064,1.00073585364748,6000
"65",1,"5",2,"b1.m5","a",0.0607057564028531,1.00292537885045,1400
"66",1,"5",2,"b1.m5","b",-1.05644903273717,1.0015040055129,3500
"67",1,"5",2,"b1.m5","d.t",9.07219748160069,1.00351223544304,1200
"68",1,"5",2,"b1.m5","tmax",44.1882955368998,1.00059139695062,6000
"69",3,"2",2,"b3.m2","a",0.0583254178545501,1.00076347778718,6000
"70",3,"2",2,"b3.m2","b",-1.07822107177517,1.00060415928324,6000
"71",3,"2",2,"b3.m2","d.t",9.11222302946795,1.00081023973651,6000
"72",3,"2",2,"b3.m2","tmax",44.5608303318702,1.00060375113677,6000
"73",3,"1",3,"b3.m1","a",0.0592264816441211,1.00107151862904,6000
"74",3,"1",3,"b3.m1","b",-1.1238651889376,1.00114557900269,5400
"75",3,"1",3,"b3.m1","d.t",9.09647708401935,1.00152248634055,3400
"76",3,"1",3,"b3.m1","tmax",44.6281929939961,1.00111207360724,5700
"77",3,"all",1,"b3.mall","a",0.0620402373033399,1.00111984790894,5600
"78",3,"all",1,"b3.mall","b",-1.15360232226637,1.00120499021576,5000
"79",3,"all",1,"b3.mall","d.t",9.0780163361031,1.0013118206312,4300
"80",3,"all",1,"b3.mall","tmax",44.4233621780966,1.00116793025466,5200
"81",3,"3",3,"b3.m3","a",0.0591272554429001,1.00108820104921,5900
"82",3,"3",3,"b3.m3","b",-1.10154792305669,1.00108895267303,5900
"83",3,"3",3,"b3.m3","d.t",9.09676798432421,1.00121181413114,4900
"84",3,"3",3,"b3.m3","tmax",44.4798046659465,1.00100254955897,6000
"85",3,"12",2,"b3.m12","a",0.0591597954457538,1.00053333310974,6000
"86",3,"12",2,"b3.m12","b",-1.09128158484306,1.00136993611997,4000
"87",3,"12",2,"b3.m12","d.t",9.13876324198693,1.00062510412218,6000
"88",3,"12",2,"b3.m12","tmax",44.4409529444452,1.00179418633273,2700
"89",3,"5",3,"b3.m5","a",0.0604269689827685,1.00174271178829,2800
"90",3,"5",3,"b3.m5","b",-1.12633526201801,1.00130313275825,4400
"91",3,"5",3,"b3.m5","d.t",9.14853068656221,1.00158535113856,3200
"92",3,"5",3,"b3.m5","tmax",44.4798304320319,1.00126109021384,4600
"93",3,"7",1,"b3.m7","a",0.0596092048061652,1.00137739367515,4000
"94",3,"7",1,"b3.m7","b",-1.12406677643842,1.00073087339777,6000
"95",3,"7",1,"b3.m7","d.t",9.06873030918143,1.00105540849658,6000
"96",3,"7",1,"b3.m7","tmax",44.5977112971007,1.00140724994393,3900
"97",3,"9",3,"b3.m9","a",0.0603533988077625,1.000634422842,6000
"98",3,"9",3,"b3.m9","b",-1.1407699306258,1.00058939004266,6000
"99",3,"9",3,"b3.m9","d.t",9.12975179144666,1.00084316640935,6000
"100",3,"9",3,"b3.m9","tmax",44.5226214146783,1.00090078905054,6000
"101",3,"10",1,"b3.m10","a",0.0586219310260622,1.00075845774651,6000
"102",3,"10",1,"b3.m10","b",-1.1086713718421,1.00113152326626,5500
"103",3,"10",1,"b3.m10","d.t",9.05234404533471,1.00064840368669,6000
"104",3,"10",1,"b3.m10","tmax",44.5230860084979,1.00078112860631,6000
"105",3,"8",1,"b3.m8","a",0.05894149129827,1.00115155195894,5400
"106",3,"8",1,"b3.m8","b",-1.12285249518626,1.00081098091305,6000
"107",3,"8",1,"b3.m8","d.t",9.23045008846658,1.00100444903329,6000
"108",3,"8",1,"b3.m8","tmax",44.8226504105602,1.00061835349704,6000
"109",3,"13",2,"b3.m13","a",0.0580387376911706,1.00098513633191,6000
"110",3,"13",2,"b3.m13","b",-1.17999244093599,1.00106844042549,6000
"111",3,"13",2,"b3.m13","d.t",9.03535059277925,1.00109951179345,5800
