"","contrast","estimate","SE","df","t.ratio","p.value","trait"
"24","8 - none",-0.00178340208449898,0.00926670687172974,134.000000000003,-0.192452627366434,0.999976158589333,"N.comp"
"25","9 - none",-0.00364893612787251,0.00926670687172974,134.000000000003,-0.39376837730828,0.999093499563248,"N.comp"
"26","10 - none",0.0135106684676827,0.00926670687172974,134.000000000003,1.45797948016465,0.720239720535668,"N.comp"
"27","11 - none",-0.0232594089618634,0.00926670687172974,134.000000000002,-2.50999727128757,0.138411556685941,"N.comp"
"28","12 - none",0.0166942617697464,0.00926670687172974,134.000000000003,1.80153122364064,0.49753367327041,"N.comp"
"29","13 - none",-0.0173615626298775,0.00926670687172974,134.000000000002,-1.87354179539692,0.450742796775552,"N.comp"
"30","14 - none",0.00927977158171027,0.00926670687172974,134.000000000002,1.00140985467236,0.929334300344229,"N.comp"
"31","15 - none",0.0143245689666273,0.00926670687172974,134.000000000002,1.54581008819085,0.665627592404493,"N.comp"
"32","all - none",-0.0228626958600746,0.00926670687172974,134.000000000002,-2.46718669064872,0.152318372507693,"N.comp"
"33","1 - none",0.286125998291501,0.388605249391282,131.000335058606,0.736289586256731,0.981449732987976,"S.µ.max"
"34","2 - none",-0.0681835775107141,0.388605249391282,131.000335058606,-0.175457170528494,0.999985165122651,"S.µ.max"
"35","3 - none",0.0884836829301743,0.388605249391282,131.000335058606,0.227695542118324,0.999943501466997,"S.µ.max"
"36","4 - none",-0.267545420229864,0.388605249391282,131.000335058606,-0.688476083760967,0.986380700852039,"S.µ.max"
"37","5 - none",0.120125724482072,0.388605249391282,131.000335058606,0.309120179591601,0.999731805475762,"S.µ.max"
"38","6 - none",-0.261793979454135,0.400848961224513,131.1336456094,-0.653098809722263,0.989351738878018,"S.µ.max"
"39","7 - none",-0.167867635943251,0.388605249391282,131.000335058606,-0.431974699791632,0.99856155524968,"S.µ.max"
"40","8 - none",-0.0777534925986724,0.388605249391282,131.000335058606,-0.200083485028745,0.999970871962622,"S.µ.max"
"41","9 - none",0.129014065062226,0.400848961224512,131.1336456094,0.321852062852087,0.999671024930726,"S.µ.max"
"42","10 - none",0.566832171259744,0.388605249391282,131.000335058606,1.45863230655695,0.719851461013259,"S.µ.max"
"43","11 - none",0.361799741741354,0.400848961224513,131.1336456094,0.902583707928614,0.954270525809428,"S.µ.max"
"44","12 - none",0.1058462006423,0.388605249391282,131.000335058607,0.27237460329756,0.999858978278002,"S.µ.max"
"45","13 - none",0.597714438354674,0.388605249391282,131.000335058606,1.53810181229138,0.670555068877863,"S.µ.max"
"46","14 - none",-0.142528472264505,0.388605249391282,131.000335058606,-0.366769292200154,0.999364508959145,"S.µ.max"
"47","15 - none",-0.0975517145550328,0.388605249391282,131.000335058606,-0.251030357175667,0.999906973048956,"S.µ.max"
"48","all - none",0.578433643682599,0.388605249391282,131.000335058606,1.48848643858689,0.701627762300372,"S.µ.max"
"49","1 - none",0.335620860715956,0.483601676176416,131.000102864253,0.694002682888804,0.985866635832337,"S.tolerance"
"50","2 - none",0.452614919936166,0.483601676176416,131.000102864252,0.935925043756577,0.946645926118153,"S.tolerance"
"51","3 - none",-0.250165970603523,0.483601676176416,131.000102864253,-0.517297567248844,0.996510153474971,"S.tolerance"
"52","4 - none",0.326679567352206,0.483601676176416,131.000102864252,0.675513720165508,0.987532261233916,"S.tolerance"
"53","5 - none",-0.00342909240710654,0.483601676176416,131.000102864252,-0.00709073722452448,0.999999999999153,"S.tolerance"
"54","6 - none",0.2472301802299,0.498783582030304,131.075353640921,0.495666235090472,0.997166922304737,"S.tolerance"
"55","7 - none",0.439979125559617,0.483601676176416,131.000102864252,0.909796527254206,0.952687173504192,"S.tolerance"
"56","8 - none",-0.0824623715577299,0.483601676176416,131.000102864252,-0.170517133459331,0.999987191767701,"S.tolerance"
"57","9 - none",-0.067528111663003,0.498783582030304,131.075353640921,-0.135385594265411,0.999996097487484,"S.tolerance"
"58","10 - none",-0.296479989626158,0.483601676176416,131.000102864253,-0.613066505414681,0.992099467306018,"S.tolerance"
"59","11 - none",-1.03377384446937,0.498783582030304,131.075353640921,-2.07258996028174,0.330393678562798,"S.tolerance"
"60","12 - none",-0.364517523483133,0.483601676176416,131.000102864252,-0.753755707310987,0.979361199420285,"S.tolerance"
"61","13 - none",-0.646578612713727,0.483601676176416,131.000102864252,-1.33700655842611,0.789443760540192,"S.tolerance"
"62","14 - none",0.10250834708311,0.483601676176416,131.000102864253,0.211968552081104,0.999960840512556,"S.tolerance"
"63","15 - none",0.0732650257029869,0.483601676176416,131.000102864252,0.151498700919018,0.999993032432417,"S.tolerance"
"64","all - none",-0.895806519520669,0.483601676176416,131.000102864253,-1.85236438095778,0.464485240478774,"S.tolerance"
"65","1 - none",0.0579951462788609,0.0415267904220286,133.999999999998,1.39657184409071,0.756381932959061,"T.µ.max"
"66","2 - none",0.129969237424855,0.0415267904220286,133.999999999998,3.12976842428715,0.0275108593476103,"T.µ.max"
"67","3 - none",0.0481799331832723,0.0415267904220286,133.999999999997,1.16021326699292,0.87369640135125,"T.µ.max"
"68","4 - none",-0.0116122418547567,0.0415267904220286,133.999999999998,-0.279632539301587,0.999838888824544,"T.µ.max"
"69","5 - none",0.0866843619639674,0.0415267904220286,133.999999999997,2.08743225958499,0.321960722528444,"T.µ.max"
"70","6 - none",0.0445645226221495,0.0415267904220286,133.999999999997,1.07315114337633,0.906618749517069,"T.µ.max"
"71","7 - none",0.0287316202681708,0.0415267904220286,133.999999999998,0.691881553478538,0.986072133336686,"T.µ.max"
"72","8 - none",0.0370563155707409,0.0415267904220286,133.999999999997,0.892347209937123,0.956468864485014,"T.µ.max"
"73","9 - none",0.0426398365768442,0.0415267904220286,133.999999999997,1.02680308647752,0.921746869025884,"T.µ.max"
"74","10 - none",0.017070928730902,0.0415267904220286,133.999999999998,0.411082305119502,0.998876411209507,"T.µ.max"
"75","11 - none",0.12809390581641,0.0415267904220286,133.999999999998,3.08460886369056,0.03137010779797,"T.µ.max"
"76","12 - none",0.0512920733070965,0.0415267904220286,133.999999999997,1.2351562156821,0.840718767771191,"T.µ.max"
"77","13 - none",0.00126206673918309,0.0415267904220286,133.999999999997,0.0303916273412164,0.999999998280645,"T.µ.max"
"78","14 - none",0.0344044921748676,0.0415267904220286,133.999999999998,0.828489074768877,0.968501943596168,"T.µ.max"
"79","15 - none",0.00948545038353414,0.0415267904220286,133.999999999997,0.22841761395801,0.999942616625621,"T.µ.max"
"80","all - none",0.224296424348428,0.0415267904220286,133.999999999997,5.40124632963316,4.60963751003352e-06,"T.µ.max"
"81","1 - none",0.12533941317712,0.427350767699715,134.000000000004,0.29329399325004,0.999794692109941,"T.br"
"82","2 - none",-0.362259394459327,0.427350767699715,134.000000000004,-0.847686307922755,0.965164864461327,"T.br"
"83","3 - none",0.153076685552674,0.427350767699715,134.000000000004,0.358199158917238,0.999436045763066,"T.br"
"84","4 - none",-0.195725053005157,0.427350767699715,134.000000000004,-0.457996259275907,0.998079896266627,"T.br"
"85","5 - none",-0.165767502007236,0.427350767699715,134.000000000004,-0.387895645770117,0.999159110173486,"T.br"
"86","6 - none",0.335984236600754,0.427350767699715,134.000000000004,0.786202487500475,0.975050477846809,"T.br"
"87","7 - none",0.215791482315899,0.427350767699715,134.000000000004,0.504951666466944,0.996899613252363,"T.br"
"88","8 - none",-0.0354936830313542,0.427350767699715,134.000000000004,-0.0830551521468061,0.999999687388796,"T.br"
"89","9 - none",-0.349781844896323,0.427350767699715,134.000000000004,-0.818488865198675,0.970148482815456,"T.br"
"90","10 - none",0.591925027527446,0.427350767699715,134.000000000004,1.38510346129382,0.762910837863672,"T.br"
"91","11 - none",-3.59808035719241,0.427350767699715,134.000000000005,-8.41950133039345,8.35997937542743e-13,"T.br"
"92","12 - none",-0.348393500766523,0.427350767699715,134.000000000004,-0.815240142522283,0.970670102914332,"T.br"
"93","13 - none",-0.5544128055186,0.427350767699715,134.000000000004,-1.29732493170146,0.8102648442961,"T.br"
"94","14 - none",-0.255964176486926,0.427350767699715,134.000000000005,-0.598955695960708,0.992931386738822,"T.br"
"95","15 - none",0.718794338239882,0.427350767699715,134.000000000004,1.68197741192536,0.576683339820814,"T.br"
"96","all - none",-1.34514928026734,0.427350767699715,134.000000000004,-3.14764680898511,0.026103272718179,"T.br"
"97","1 - none",-1.47820368556433,4.50873216792187,134.000000000002,-0.327853514138909,0.999639042815823,"T.µ.max"
"98","2 - none",-0.225665049973329,4.50873216792187,134.000000000003,-0.0500506664775657,0.999999977249005,"T.µ.max"
"99","3 - none",-0.485455122220131,4.50873216792187,134.000000000003,-0.10766998440803,0.999998804350063,"T.µ.max"
"100","4 - none",0.171835009269098,4.50873216792187,134.000000000002,0.0381116027453676,0.999999994449477,"T.µ.max"
"101","5 - none",0.0853623274802516,4.50873216792187,134.000000000004,0.0189326676105483,0.999999999851742,"T.µ.max"
"102","6 - none",-0.728190839872143,4.50873216792187,134.000000000004,-0.161506785666485,0.999990320317154,"T.µ.max"
"103","7 - none",-1.02266210286187,4.50873216792187,134.000000000002,-0.226818108677596,0.999944643630809,"T.µ.max"
"104","8 - none",0.287764594110064,4.50873216792187,134.000000000002,0.0638238385853596,0.99999991995216,"T.µ.max"
"105","9 - none",0.520717541983746,4.50873216792187,134.000000000004,0.115490901342173,0.999998282611016,"T.µ.max"
"106","10 - none",-1.56791130981906,4.50873216792187,134.000000000002,-0.347749933112955,0.999514110296848,"T.µ.max"
"107","11 - none",-31.6152892687559,4.50873216792187,134.000000000002,-7.01201315387243,1.67141012141769e-09,"T.µ.max"
"108","12 - none",0.791234664215217,4.50873216792187,134.000000000004,0.175489391417966,0.999985161103512,"T.µ.max"
"109","13 - none",-10.691842761106,4.50873216792187,134.000000000004,-2.3713634704618,0.187201857697646,"T.µ.max"
"110","14 - none",0.54797855557162,4.50873216792187,134.000000000003,0.121537171684383,0.99999776503144,"T.µ.max"
"111","15 - none",-1.50608676938925,4.50873216792187,134.000000000003,-0.334037754583107,0.999603319558518,"T.µ.max"
"112","all - none",-15.9872967957599,4.50873216792187,134.000000000003,-3.54585196022602,0.00750194637751711,"T.µ.max"
"113","1 - none",0.796705006498552,0.369623507432973,134,2.15545004708075,0.285492031333546,"T.opt"
"114","2 - none",0.790123444694205,0.369623507432973,134,2.13764392362812,0.294797319865549,"T.opt"
"115","3 - none",0.34176041523654,0.369623507432972,134,0.924617640284999,0.949336558234498,"T.opt"
"116","4 - none",0.544378032796321,0.369623507432973,134,1.47279061490708,0.711248819899588,"T.opt"
"117","5 - none",0.169857094717332,0.369623507432973,134,0.45954083358222,0.998047737517999,"T.opt"
"118","6 - none",0.235338317460071,0.369623507432973,134,0.636697376458794,0.990556481452009,"T.opt"
"119","7 - none",0.662629520498435,0.369623507432973,134,1.79271476833382,0.50333064473944,"T.opt"
"120","8 - none",0.226880932542724,0.369623507432973,134,0.613816296799971,0.992057577692992,"T.opt"
"121","9 - none",0.679511638176694,0.369623507432972,134,1.83838858869093,0.47344440008138,"T.opt"
"122","10 - none",-0.00711889593528453,0.369623507432973,134,-0.0192598571035839,0.999999999837986,"T.opt"
"123","11 - none",2.63509329992993,0.369623507432972,134,7.12912800982437,9.04337604801242e-10,"T.opt"
"124","12 - none",0.290393530909605,0.369623507432972,134,0.785646813771077,0.975129459430235,"T.opt"
"125","13 - none",0.687049829576404,0.369623507432972,134,1.85878283107033,0.460236862546435,"T.opt"
"126","14 - none",0.381967191526445,0.369623507432973,134,1.03339528965352,0.919696376886145,"T.opt"
"127","15 - none",-0.122862973411147,0.369623507432972,134,-0.332400323411321,0.999613039123382,"T.opt"
"128","all - none",1.15274382732019,0.369623507432973,134,3.11869728017564,0.0284158785308679,"T.opt"
"129","1 - none",0.258335089053613,0.095987827908157,134,2.69133175198832,0.0900937029195932,"T.max"
"130","2 - none",0.213401430176402,0.095987827908157,134,2.22321345140333,0.251713353206038,"T.max"
"131","3 - none",0.22072833222412,0.095987827908157,134,2.29954502601431,0.216857262418939,"T.max"
"132","4 - none",0.131128387412044,0.095987827908157,134,1.36609391283977,0.773567183750886,"T.max"
"133","5 - none",0.0331563881682811,0.095987827908157,134,0.34542284048771,0.99953027074986,"T.max"
"134","6 - none",0.0982970265528104,0.095987827908157,134.000000000002,1.02405720282433,0.922591118480116,"T.max"
"135","7 - none",0.203211378203355,0.095987827908157,134,2.11705361640011,0.305773674559732,"T.max"
"136","8 - none",0.138973379619323,0.095987827908157,134,1.44782294430389,0.726347010108396,"T.max"
"137","9 - none",0.172281358525559,0.095987827908157,134.000000000002,1.79482505521848,0.501942047898807,"T.max"
"138","10 - none",0.0819123483996842,0.095987827908157,134,0.853361829148374,0.964133033033556,"T.max"
"139","11 - none",0.150292700061031,0.095987827908157,134.000000000002,1.56574748420012,0.652854092361873,"T.max"
"140","12 - none",0.0395520644435653,0.095987827908157,134.000000000002,0.412052916557394,0.998863135694967,"T.max"
"141","13 - none",0.188065165599839,0.095987827908157,134,1.95926056145143,0.396920445895061,"T.max"
"142","14 - none",0.159896614011077,0.095987827908157,134.000000000002,1.66580094055331,0.587398516199875,"T.max"
"143","15 - none",0.109894230977131,0.095987827908157,134,1.14487673460306,0.879921290874188,"T.max"
"144","all - none",0.149660331126328,0.095987827908157,134,1.55915947248568,0.657087695451272,"T.max"
