"","contrast","estimate","SE","df","t.ratio","p.value","trait"
"1","1 - none",0.0528648062997762,0.121098676645367,133.999999999997,0.436543220489427,0.998485432201072,"N.µ.max"
"2","2 - none",0.0820245144854218,0.121098676645367,133.999999999997,0.677336175403697,0.987380899514135,"N.µ.max"
"3","3 - none",0.0504580158952228,0.121098676645367,133.999999999997,0.416668598641976,0.998798313803416,"N.µ.max"
"4","4 - none",-0.0762168767403444,0.121098676645367,133.999999999997,-0.629378279364215,0.991057931379742,"N.µ.max"
"5","5 - none",0.0214715155503197,0.121098676645367,133.999999999997,0.177305947060002,0.999984354148394,"N.µ.max"
"6","6 - none",-0.00371640690118379,0.121098676645367,133.999999999997,-0.0306890793866159,0.999999998191711,"N.µ.max"
"7","7 - none",0.103232251655139,0.121098676645367,133.999999999997,0.852463912198237,0.964297670368053,"N.µ.max"
"8","8 - none",0.0501915199311659,0.121098676645367,133.999999999997,0.414467947310027,0.998829570568353,"N.µ.max"
"9","9 - none",-0.0662032546241882,0.121098676645367,133.999999999997,-0.546688506085513,0.995439825036784,"N.µ.max"
"10","10 - none",0.099246940490743,0.121098676645367,133.999999999997,0.819554294398973,0.969976004755299,"N.µ.max"
"11","11 - none",0.122092542178052,0.121098676645367,133.999999999997,1.0082070717882,0.927351539620745,"N.µ.max"
"12","12 - none",0.031013977436386,0.121098676645367,133.999999999997,0.256105007053127,0.999897037818276,"N.µ.max"
"13","13 - none",0.145133571542788,0.121098676645367,133.999999999997,1.19847363788959,0.857385484787718,"N.µ.max"
"14","14 - none",-0.00398717781511058,0.121098676645367,133.999999999997,-0.0329250320941731,0.999999997397399,"N.µ.max"
"15","15 - none",-0.0198106959912072,0.121098676645367,133.999999999997,-0.163591349963486,0.999989659747983,"N.µ.max"
"16","all - none",0.668452768371114,0.121098676645367,133.999999999997,5.51990151245545,2.67448182278418e-06,"N.µ.max"
"17","1 - none",-0.0145341763388901,0.00926670687172974,134.000000000002,-1.5684294906565,0.651127129010493,"N.comp"
"18","2 - none",0.00170796226531067,0.00926670687172974,134.000000000003,0.184311675005196,0.999980905566571,"N.comp"
"19","3 - none",0.00271552984107607,0.00926670687172974,134.000000000003,0.293041517193172,0.999795587930656,"N.comp"
"20","4 - none",-0.00184891601336674,0.00926670687172974,134.000000000002,-0.199522445131753,0.999971307871838,"N.comp"
"21","5 - none",-0.00426651988550274,0.00926670687172974,134.000000000002,-0.46041381739599,0.998029377319059,"N.comp"
"22","6 - none",-0.00389350145712018,0.00926670687172974,134.000000000003,-0.420160204807839,0.998747384070928,"N.comp"
"23","7 - none",-0.00902916825043112,0.00926670687172974,134.000000000003,-0.974366447046763,0.936877013718931,"N.comp"
