"","unique.id","temp","nit","salt","block","mic","plate","well","rep","µ"
"76","b1.t14.p2.w68",14,1000,0,1,"12",2,68,"2",0.0914057376521235
"77","b1.t14.p2.w72",14,1000,0,1,"10",2,72,"2",0.198255713360911
"78","b1.t14.p2.w73",14,1000,0,1,"11",2,73,"2",0.182728755767766
"79","b1.t14.p2.w75",14,1000,0,1,"13",2,75,"2",0.0859542370897184
"80","b1.t14.p2.w77",14,1000,0,1,"14",2,77,"2",0.350983262460747
"81","b1.t14.p2.w80",14,1000,0,1,"4",2,80,"2",0.00255444287989899
"82","b1.t14.p2.w81",14,1000,0,1,"15",2,81,"2",0.0404752064171534
"83","b1.t14.p2.w82",14,1000,0,1,"7",2,82,"2",0.0608327977410185
"84","b1.t14.p2.w83",14,1000,0,1,"9",2,83,"3",0.321009244175665
"85","b1.t14.p2.w87",14,1000,0,1,"2",2,87,"2",0.239393731974506
"86","b1.t14.p2.w88",14,1000,0,1,"all",2,88,"1",0.310500646955808
"87","b1.t14.p2.w96",14,1000,0,1,"12",2,96,"1",0.310973672954083
"88","b1.t14.p2.w97",14,1000,0,1,"14",2,97,"1",0.294894281862661
"89","b1.t14.p2.w98",14,1000,0,1,"3",2,98,"1",0.252546979872573
"90","b1.t14.p2.w100",14,1000,0,1,"1",2,100,"3",0.129201584562476
"91","b1.t14.p2.w107",14,1000,0,1,"13",2,107,"1",0.0307108048130494
"92","b1.t14.p2.w108",14,1000,0,1,"7",2,108,"1",0.160050021388058
"93","b1.t14.p2.w109",14,1000,0,1,"3",2,109,"2",0.119701088358392
"94","b1.t14.p2.w111",14,1000,0,1,"8",2,111,"3",0.0366509433349129
"95","b1.t14.p2.w114",14,1000,0,1,"8",2,114,"1",0.218016269252038
"96","b1.t14.p2.w118",14,1000,0,1,"11",2,118,"1",0.169321029243408
"97","b1.t20.p1.w2",20,1000,0,1,"4",1,2,"3",0.0908130696511395
"98","b1.t20.p1.w4",20,1000,0,1,"9",1,4,"2",0.0448545055350618
"99","b1.t20.p1.w6",20,1000,0,1,"7",1,6,"3",0.117015842575432
"100","b1.t20.p1.w7",20,1000,0,1,"7",1,7,"2",0.11539563102233
"101","b1.t20.p1.w10",20,1000,0,1,"2",1,10,"2",0.403090380690044
"102","b1.t20.p1.w15",20,1000,0,1,"6",1,15,"1",-0.0111601039610673
"103","b1.t20.p1.w16",20,1000,0,1,"3",1,16,"2",0.0812280853381854
"104","b1.t20.p1.w22",20,1000,0,1,"all",1,22,"1",0.120489881377619
"105","b1.t20.p1.w23",20,1000,0,1,"3",1,23,"3",0.276763220686825
"106","b1.t20.p1.w24",20,1000,0,1,"12",1,24,"1",-0.0188688956440538
"107","b1.t20.p1.w25",20,1000,0,1,"4",1,25,"2",0.27361884943054
"108","b1.t20.p1.w28",20,1000,0,1,"3",1,28,"1",0.160125347099983
"109","b1.t20.p1.w29",20,1000,0,1,"13",1,29,"2",0.109502579431782
"110","b1.t20.p1.w44",20,1000,0,1,"9",1,44,"3",0.443270499770797
"111","b1.t20.p1.w46",20,1000,0,1,"all",1,46,"3",0.408299122333134
"112","b1.t20.p1.w52",20,1000,0,1,"11",1,52,"2",0.23499025497543
"113","b1.t20.p1.w53",20,1000,0,1,"15",1,53,"3",0.164214566218514
"114","b1.t20.p1.w59",20,1000,0,1,"5",1,59,"3",0.149925898910271
