"","block","mic","rep","id","Parameter","mean","Rhat","n.eff"
"1",1,"2",1,"b1.m2","a",0.0599238223866588,1.00175366822065,2800
"2",1,"2",1,"b1.m2","b",-1.02588542510036,1.00224491277944,2200
"3",1,"2",1,"b1.m2","d.t",7.99438913419186,1.00114283300142,5400
"4",1,"2",1,"b1.m2","tmax",44.3185893754351,1.00272492231879,1600
"5",1,"15",1,"b1.m15","a",0.0569860429523543,1.00123084207345,4800
"6",1,"15",1,"b1.m15","b",-0.866411617971947,1.0007997184975,6000
"7",1,"15",1,"b1.m15","d.t",9.41797452821295,1.00110248149525,5800
"8",1,"15",1,"b1.m15","tmax",44.2899822682514,1.00094937665461,6000
"9",1,"7",1,"b1.m7","a",0.0563229592193964,1.00313739059874,1300
"10",1,"7",1,"b1.m7","b",-0.930324302161502,1.0024155505049,2200
"11",1,"7",1,"b1.m7","d.t",8.1203622111789,1.00190737416303,2500
"12",1,"7",1,"b1.m7","tmax",44.3846590003127,1.00148042558743,3600
"13",1,"4",2,"b1.m4","a",0.0578660794260704,1.01533339934676,240
"14",1,"4",2,"b1.m4","b",-1.00627883754312,1.00243868755153,1800
"15",1,"4",2,"b1.m4","d.t",8.42381768597756,1.02075100620282,190
"16",1,"4",2,"b1.m4","tmax",44.5056298023846,1.00087319571455,6000
"17",1,"14",3,"b1.m14","a",0.0610930960614112,1.00073085516063,6000
"18",1,"14",3,"b1.m14","b",-1.0212501145887,1.00139970550893,3900
"19",1,"14",3,"b1.m14","d.t",8.87118105261375,1.00058418148439,6000
"20",1,"14",3,"b1.m14","tmax",44.3836206076088,1.00128680458952,4400
"21",1,"1",3,"b1.m1","a",0.0561446082024716,1.00109335841373,5900
"22",1,"1",3,"b1.m1","b",-0.883738604276792,1.00182392207022,2600
"23",1,"1",3,"b1.m1","d.t",8.47189690512663,1.00092698133462,6000
"24",1,"1",3,"b1.m1","tmax",44.4360431612319,1.00068088194174,6000
"25",1,"8",1,"b1.m8","a",0.0605309985157507,1.00077398191214,6000
"26",1,"8",1,"b1.m8","b",-1.01478006976901,1.00091654537554,6000
"27",1,"8",1,"b1.m8","d.t",8.90111119356838,1.00055876101052,6000
"28",1,"8",1,"b1.m8","tmax",44.2298633698697,1.00073164192439,6000
"29",1,"12",2,"b1.m12","a",0.0627470436623069,1.00205680965385,2300
"30",1,"12",2,"b1.m12","b",-1.15847490019679,1.00222493449924,2000
"31",1,"12",2,"b1.m12","d.t",8.84065285867132,1.00116974710564,5200
"32",1,"12",2,"b1.m12","tmax",44.3940276848259,1.00166172616461,3000
"33",1,"none",2,"b1.mnone","a",0.0596215589624677,1.00057885124889,6000
"34",1,"none",2,"b1.mnone","b",-0.912518729822268,1.00101866289379,6000
"35",1,"none",2,"b1.mnone","d.t",9.35274356616291,1.001030671808,6000
"36",1,"none",2,"b1.mnone","tmax",43.9921118032002,1.00156384935843,3300
"37",1,"11",3,"b1.m11","a",0.0869960958864929,1.06642399048686,59
"38",1,"11",3,"b1.m11","b",-0.743678499746295,1.07189592164137,56
"39",1,"11",3,"b1.m11","d.t",6.10242214208866,1.04045365601173,96
