"","Block","Mic","r.max","c.mod","c.pred"
"1",1,"none",2.56890195739986,0.593745788179658,0
"2",1,"1",1.85697724496696,1.9085112825509,0
"3",1,"2",2.11085940253663,2.08097250575065,0
"4",1,"3",1.99477912849552,1.21524664930801,0
"5",1,"4",1.32483200976678,2.32390613900518,0
"6",1,"5",2.9279215085902,0.418876825336281,0
"7",1,"6",2.56559858787793,0.976555498213355,0
"8",1,"7",1.21563900154449,2.53731671147832,0
"9",1,"8",2.51958981396931,0.667312706299724,0
"10",1,"9",1.66518191685772,1.24619382737568,0
"11",1,"10",1.89285716472731,1.78494606854741,0
"12",1,"11",2.33128936923046,0.447623448214279,0
"13",1,"12",2.55124360764513,0.772274509582336,0
"14",1,"13",1.83142361855126,1.90707498085038,0
"15",1,"14",2.5407765272276,0.628880660726707,0
"16",1,"15",1.95382159045921,1.55549340414242,0
"17",1,"all",2.01061453399134,1.75945508562267,0
"18",2,"none",2.15128116438851,1.90832645421826,0
"19",2,"1",2.10130787953705,1.45484318216687,0
"20",2,"2",1.91576794429826,2.00798307270717,0
"21",2,"3",1.34233155333695,3.1275525760598,0
"22",2,"4",2.11182815841125,1.32017209750358,0
"23",2,"5",1.42396933346193,2.56071991769348,0
"24",2,"6",1.59067593635922,2.68773604063778,0
"25",2,"7",0.945837884129754,2.96248914640401,0
"26",2,"8",1.44578598239139,2.72687281541636,0
"27",2,"9",2.78795619681259,1.31502156137017,0
"28",2,"10",2.27435444406034,1.58857315844116,0
"29",2,"11",2.91115552064525,0.438024091107004,0
"30",2,"12",1.79804438676769,2.2426545297229,0
"31",2,"13",2.05789238921425,1.75899831210159,0
"32",2,"14",1.85577987050843,2.08356423477493,0
"33",2,"15",1.39800964575748,2.40071146238632,0
"34",2,"all",2.72636909233623,1.12403239950075,0
