"","block","mic","rep","id","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","T.br","T.br.lwr","T.br.upr","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"1",1,"2",1,"b1.m2",5.29559326944154,0.457728369691888,9.77102709549453,0,42.773380368572,42.1360569829315,43.6047026763545,0,32.7284492403508,31.8150843722952,33.5570494829585,21.8939050624877,19.7459669416991,24.0853290650549,2.01283178668725,1.79011116759054,2.22911923664472,18.5010107295712,16.1911537793696,20.5081410931674,0,40.3911055876762,39.7424192643411,41.1346079800576,0,0.0588630642270211,-1.15639986426635,44.6078963810108,8.96193780627222,0.0599938830423432,-1.15662041664457,44.6386500141819,8.81277751326469
"2",1,"15",1,"b1.m15",2.38468592347407,-2.89956143848587,6.89411040758275,0,42.4488189860887,41.753329726516,43.2240979071264,0,31.6635821837683,30.7591834003943,32.6132108304269,23.5036988144339,21.3544119471479,25.8721178063909,1.66192773591881,1.47725712617046,1.83615580778131,16.3843277505196,14.0404166319155,18.6533067129024,0,39.8931011765844,39.2124239900025,40.6312482679232,0,0.0533026217068846,-0.985325271325467,44.4859208719361,9.39710013897923,0.0538193347634626,-0.996140214831361,44.5032892498043,9.24653853656023
"3",1,"7",1,"b1.m7",3.97297537309414,-0.689125758815038,8.20356965457199,0,42.7900474434135,42.164238675629,43.4970782786242,0,32.3854667106763,31.546267723957,33.1713022352869,22.7274800078673,20.7954498386403,24.8700213822892,1.81900608967706,1.6497447821442,1.99212156028387,17.6163105059996,15.5504522800399,19.7073858831773,0,40.3224073507245,39.70849130069,40.9683043416748,0,0.054295714358172,-1.07758093292318,44.7400788848208,9.01319752658054,0.055764967398935,-1.0797209176561,44.7544196089057,8.90918517685349
"4",1,"4",2,"b1.m4",4.98767743387261,-0.348555989284199,8.94233571240968,0,42.7610697892746,42.0299310123345,43.4953399321624,0,32.4693592882504,31.5495846254429,33.3107130074947,22.3054721416785,20.2340200828332,24.6253029703761,1.79093573790521,1.60674958605524,1.98169000413348,18.0167687695792,15.7469761990878,20.165413502113,0,40.3140926753461,39.6247398442282,41.0058208137965,0,0.0552887200470219,-1.12746538939454,44.7895779825136,9.12655771484387,0.0565817371991168,-1.12371070792036,44.8112026131227,8.97858357446502
"5",1,"14",3,"b1.m14",4.77471622332164,1.00180279436149,8.10982320013871,0,42.6277667232885,42.1219022538202,43.1505548391315,0,32.397739984504,31.754122847915,33.0859839417058,22.2172887881153,20.662850501054,23.9662928804764,1.87897246787556,1.72612702652089,2.02062298991871,17.9861040063275,16.2691316749052,19.6625592869137,0,40.197928112649,39.7091985058542,40.6850505425311,0,0.0584836906013901,-1.11758248121472,44.550712193591,9.23605050844045,0.0591295318747076,-1.10791348849953,44.5504894527485,9.04105939518136
"6",1,"1",3,"b1.m1",3.0782750270221,-2.74582425367921,7.70395150821859,0,42.8239225238204,42.0413137946578,43.6546248601099,0,32.2466673583253,31.3248750090743,33.1639639859101,23.2113892860695,20.7833297735873,25.5922741586734,1.79119136867688,1.59640611151174,1.98153247201539,17.1242090009134,14.6013255088659,19.3527179166042,0,40.3255796424727,39.5550671335211,41.0723743069706,0,0.0534306633648227,-1.02884378502573,44.7742754317292,9.07791387396616,0.0545935063682838,-1.03858296926743,44.7898653731421,8.96843465581921
"7",1,"8",1,"b1.m8",4.39684327723835,0.935257645260504,7.70440256489677,0,42.4765309872981,42.0316211298811,42.988587581788,0,32.2058313094709,31.54824333427,32.8490169463192,22.3193453602285,20.7941579434568,23.9533534864157,1.87090450959837,1.73398920048585,2.00566838378719,17.7145278215002,16.0594115656314,19.2537277040001,0,40.0407153072883,39.5619284196848,40.478956697046,0,0.0578322206679798,-1.0972272835724,44.3882904998677,9.18997369079002,0.0586860960267426,-1.08919611960814,44.3830695285386,9.01574316744344
"8",1,"12",2,"b1.m12",6.64125154495747,3.69283468892915,9.37694549555424,0,42.5109560688768,42.0783830695855,42.9503264453458,0,32.599616832841,32.0214262539283,33.1873990144908,21.2961713213778,20.0790659063354,22.7554731427126,1.9110135766796,1.77324791624396,2.05246663131305,18.8536194698643,17.3906681606894,20.1600062451038,0,40.145541736682,39.7462087683375,40.5849443938225,0,0.0609035468396698,-1.23686234255118,44.5103669085597,9.20186267804306,0.0616657083648084,-1.21282814804339,44.4995919324908,8.9996275677313
"9",1,"none",2,"b1.mnone",3.04071273602133,-2.09642086725293,7.52932167263524,0,42.196272445063,41.5636166354424,42.9090967148934,0,31.6456863781896,30.7750059941106,32.5391569079434,22.9385181154228,20.8342671610701,25.2860957305624,1.74695129479954,1.57210198916056,1.93268459037455,16.7360053410101,14.4042488418414,18.9576195517128,0,39.6949545731115,39.0867110781153,40.4012215500773,0,0.0562626535181684,-1.00867314302832,44.1518197292508,9.36753625038384,0.0567187073484056,-1.02054766862928,44.1665761500885,9.19487566392622
"10",1,"11",3,"b1.m11",9.83734062679068,5.6606237423526,13.0512775875511,0,42.7255608486607,42.0384913513867,43.50186033429,0,33.3252441322474,32.488663608882,34.1232461461333,19.8999720263739,18.173748273723,21.8842940324878,1.91999606300917,1.71034498144526,2.15758502542749,20.5703798927885,18.6111834894908,22.3833138178074,0,40.4728855128638,39.8545970323995,41.2339050169426,0,0.0593501988541911,-1.47745751769504,44.9203468788917,8.73131897495867,0.0616594987464184,-1.45916208962632,44.9439901014763,8.63855852245972
