"","block","mic","rep","id","T.min","T.min.min","T.min.max","T.min.na","T.max","T.max.min","T.max.max","T.max.na","T.opt","T.opt.min","T.opt.max","r.max","r.max.min","r.max.max","T.br.min","T.br.min.min","T.br.min.max","T.br.min.na","T.br.max","T.br.max.min","T.br.max.max","T.br.max.na","a","b","tmax","d.t","a.mod","b.mod","tmax.mod","d.t.mod"
"1",1,"2",1,"b1.m2",4.30072453774864,-5.1673526314639,9.80907756894655,0.00716666666666667,42.751236881267,42.072644084202,43.487873512103,0,33.0147623854369,31.7894621142507,34.738602656075,2.01529246674546,1.78861792758625,2.23362624782275,18.6643845954369,15.9319531472155,21.1341187621033,0,40.4973601643255,39.743255022091,41.2570107728658,0,0.0561382483056262,-1.08778071525332,44.3487936625509,8.54987212757017,0.0599238223866588,-1.02588542510036,44.3185893754351,7.99438913419186
"2",1,"15",1,"b1.m15",1.1358027447211,-7.87465962273495,7.70837858937554,0.00466666666666667,42.4636888231201,41.7348053923845,43.282482450633,0,31.6289736832917,30.4184315293756,32.8390326430785,1.65260456698461,1.46939065068431,1.84510639129534,16.042716359108,12.6159605592638,18.995931163524,0,39.9022474553529,39.1809746726513,40.6812184197941,0,0.0555138074018778,-0.906439609342414,44.325321235061,9.76300280465479,0.0569860429523543,-0.866411617971947,44.2899822682514,9.41797452821295
"3",1,"7",1,"b1.m7",2.46168517627112,-7.32723401606806,8.28380828692067,0.00983333333333333,42.758376024556,42.1290537195249,43.4295645750906,0,32.6727885567031,31.3959159685207,34.2381454207969,1.81511728967355,1.63264047373843,1.98839237100535,17.6114444978255,14.8120598824634,19.9376381126057,0,40.4294542301192,39.7582652374472,41.1233022649756,0,0.0515761842776562,-1.0006674963665,44.4437365919952,8.55339049173184,0.0563229592193964,-0.930324302161502,44.3846590003127,8.1203622111789
"4",1,"4",2,"b1.m4",4.07636133171414,-4.70906922762144,9.10878845998291,0.00516666666666667,42.7331103721163,42.0453377122269,43.4433518541597,0,32.6566700489167,31.3651396478071,34.239566399343,1.78892019042931,1.59810336734993,1.97132186214491,18.1059411976145,15.1835957854038,20.3875709240582,0,40.3881997970479,39.7051100776322,41.1793558607818,0,0.0548790959100333,-1.07189473775443,44.5686995583304,9.00252475121575,0.0578660794260704,-1.00627883754312,44.5056298023846,8.42381768597756
"5",1,"14",3,"b1.m14",4.27287965100162,-1.16343959485601,8.63159075126753,0.00116666666666667,42.6305143284746,42.1416285311372,43.1885959147398,0,32.484211156134,31.6416215646658,33.4175682904249,1.87630381835388,1.7272407984458,2.02079538812068,18.0157750650947,16.0209937624306,19.7316465772359,0,40.2341197797231,39.7684480745624,40.8196642202359,0,0.0592326613653567,-1.07930811168996,44.4319089526038,9.29790019904698,0.0610930960614112,-1.0212501145887,44.3836206076088,8.87118105261375
"6",1,"1",3,"b1.m1",1.34686521166344,-10.1605424384306,8.64301641686537,0.011,42.8030497619045,42.0681440061161,43.6513866110918,0,32.4222501103826,31.0061003167843,34.1663891089765,1.78397480418023,1.57487455028473,1.97530571577878,16.9866787862394,13.7556851611228,20.0084280773327,0,40.4046714715537,39.6377894979199,41.2486681779005,0,0.0533550880323704,-0.939325080379493,44.4797480997072,9.03548874217877,0.0561446082024716,-0.883738604276792,44.4360431612319,8.47189690512663
"7",1,"8",1,"b1.m8",3.95376867081954,-1.513963709036,7.57088305545378,0.00133333333333333,42.4732167636574,42.0135024517088,42.9592185486941,0,32.2700985146866,31.4978688008207,33.1767744358346,1.87165761352043,1.73032259348946,2.00683917067601,17.7270918338473,15.8549789903151,19.4010876618183,0,40.0625192557266,39.5657510020071,40.5458687757057,0,0.059093192785142,-1.06952177678171,44.2830735778637,9.30637786887386,0.0605309985157507,-1.01478006976901,44.2298633698697,8.90111119356838
"8",1,"12",2,"b1.m12",6.4086966022087,2.45519007093016,9.36752583263285,0,42.5165861499651,42.0676063041172,42.9239459306878,0,32.6614977880681,31.9392918650453,33.4054202410458,1.90878867854809,1.78559195868095,2.05459913920068,18.8978911816312,17.4017089755405,20.3709701584389,0,40.1823426273457,39.7428232238316,40.6078950446098,0,0.0612239896746679,-1.21316858451951,44.4446316874664,9.23628863611626,0.0627470436623069,-1.15847490019679,44.3940276848259,8.84065285867132
"9",1,"none",2,"b1.mnone",2.24320145757243,-5.85857349437149,7.72765092384358,0.00566666666666667,42.2088831798689,41.565189720861,42.9407256077723,0,31.6351872152413,30.4592554569013,32.6633020855177,1.73808058798853,1.55844770459967,1.92341369196837,16.5452499918316,13.4504062370868,19.1116365920384,0,39.7003354379286,39.0223790305476,40.390355278973,0,0.0585201127722786,-0.949860266191121,44.0315480725701,9.64118813388461,0.0596215589624677,-0.912518729822268,43.9921118032002,9.35274356616291
"10",1,"11",3,"b1.m11",6.82108449117625,-5.42869620231399,12.5486017478764,0.089,42.6052203269024,42.1946508302845,43.0421385890999,0,35.1463534857804,33.7533600450668,36.5454995117797,2.00168048873286,1.81035341317951,2.20792779152871,22.5860628257302,20.272804311364,25.1534362293665,0,40.9073649304138,40.3592521227689,41.4721323633783,0,0.10491661219574,-0.607321437725379,43.4780492305587,6.72823892031339,0.0869960958864929,-0.743678499746295,43.4389200358782,6.10242214208866
"11",1,"10",1,"b1.m10",1.5376766352579,-6.4638304152344,6.67023586598115,0.003,42.4353458326342,41.8080502471657,43.1242680963138,0,31.7023948572625,30.633820065917,32.7514451655891,1.7150034095018,1.54840520883263,1.88167741769158,16.2872343006409,13.4861025291998,18.6615798449585,0,39.8968164575914,39.2712803306087,40.5734433188067,0,0.0563302224625351,-0.933472229283635,44.2763056089736,9.6569454760634,0.0573969214194132,-0.89468827943061,44.2352666334335,9.30077086867702
"12",1,"9",2,"b1.m9",4.42217254933355,-1.03599679642262,8.61694502003612,0.00333333333333333,42.5950459626222,42.1242769913567,43.1610299797964,0,32.4993423309399,31.6196032919462,33.627267613867,1.82134785878856,1.67072680452319,1.95939064902808,18.0504812579619,16.0731153151237,19.8269496202701,0,40.2248786998245,39.7004304415437,40.78655998316,0,0.0568017487504316,-1.09775905661831,44.4661658697546,9.13348174239631,0.0593176637092414,-1.03428188598928,44.4051301180429,8.66876274653963
"13",1,"all",3,"b1.mall",4.70303013238663,-4.64486940330273,10.5820164188123,0.0263333333333333,42.6424447265894,42.1966733804981,43.1312334404079,0,33.7502444969223,32.4145731122422,35.1108529261558,2.09586913238123,1.92538526485675,2.27509287982868,19.8576378142822,17.6916506612716,21.9535298170404,0,40.5965134088038,40.0510850841427,41.1695309149557,0,0.0529659528617399,-1.09469820616095,43.9795004669913,7.47907437625473,0.0672850142061233,-0.932645160429907,43.8871783573639,7.18563752747616
"14",1,"3",3,"b1.m3",3.97803137209314,-0.553417559831064,7.12995326843718,0.001,42.7598329041274,42.3823490439133,43.1680916734935,0,32.5385601170418,31.8945016376803,33.4013554608312,1.87174524145251,1.76363605546407,1.974378360829,17.8987262650026,16.4674889459161,19.1819764887478,0,40.3538331485769,39.9638256568837,40.7789830663672,0,0.0574271686113487,-1.08255683235191,44.5900588422468,9.18813585022009,0.0595262536541073,-1.01708895522056,44.5173833982959,8.789837912107
"15",1,"6",3,"b1.m6",2.42713707652508,-3.33879008704403,5.57582169810318,0.000666666666666667,42.7209292621194,42.4462719015928,43.0033654760197,0,32.702686607085,31.9297861253048,33.5205007893724,1.84392534381703,1.76475215529597,1.92279072291525,17.6840110803256,16.5243274152299,18.7992196092852,0,40.3848535390092,40.0522171936272,40.7192659826768,0,0.0496998713441067,-1.03722059681182,44.3929505591577,8.09104039991978,0.0585960040537458,-0.908170338036083,44.2726015801013,8.18080724116274
"16",1,"13",2,"b1.m13",3.87586131092312,-2.07692713051149,8.45631996659146,0.00133333333333333,42.340548582124,41.7579029039327,42.9668398435396,0,31.9793672644924,31.0725507176897,32.8895644984987,1.75438291257278,1.59507758166466,1.92516896540589,17.3603910137476,15.1073868916548,19.5004440286345,0,39.8808556834477,39.3464307783281,40.5200291824357,0,0.0585989873825577,-1.04437831562027,44.2692741940973,9.51830274799852,0.0597359481458091,-1.00862226866086,44.2369958469852,9.22258822527028
