"","mic","temp","well.ID","r.exp"
"1","none",8,"1.1.6",0.152455574134446
"2","none",8,"2.2.10",0.198848301853181
"3","none",8,"2.3.8",0.141423943945087
"4","none",14,"1.3.8",-0.0243704990010531
"5","none",14,"2.4.9",0.121478543509857
"6","none",14,"2.5.1",0.464166969667113
"7","none",20,"1.1.2",0.353753608738572
"8","none",20,"2.2.5",0.690302586499988
"9","none",20,"2.5.8",0.523871600007461
"10","none",25,"1.1.9",1.16834113632424
"11","none",25,"1.2.9",0.787345415275052
"12","none",25,"2.1.9",0.952375686774025
"13","none",30,"1.4.1",1.66706567983894
"14","none",30,"16.5.9",1.50301511943364
"15","none",30,"20.6.6",1.98958306844166
"16","none",33,"1.2.3",2.08550154960722
"17","none",33,"1.2.9",2.0374775975769
"18","none",33,"1.6.4",2.01376224576773
"19","none",35,"1.2.3",1.99519147986062
"20","none",35,"1.2.6",2.18725178305835
"21","none",35,"1.4.1",1.60878644328517
"22","none",39,"1.6.4",1.03734913106546
"23","none",39,"1.6.6",0.960081881615661
"24","none",39,"2.4.2",0.908407069618181
"25","none",43,"1.5.3",-0.228947717470075
"26","none",43,"2.2.3",-0.262257190950755
"27","none",43,"2.6.10",-0.166002482786201
"28","1",8,"1.2.1",0.171187758655009
"29","1",8,"1.4.9",0.139336383092894
"30","1",8,"2.4.1",-0.00202811026013313
"31","1",14,"1.6.10",0.0224454688255578
"32","1",14,"2.5.5",0.600051060531917
"33","1",14,"2.6.3",0.636513950624996
"34","1",20,"1.2.2",0.35515536973141
"35","1",20,"2.3.2",0.429815119518424
"36","1",20,"2.5.3",0.0919509019301779
"37","1",25,"1.3.10",1.09573679020435
"38","1",25,"1.4.5",0.82538070905503
"39","1",25,"2.3.10",0.92685535839676
"40","1",30,"3.3.2",1.14080500237201
"41","1",30,"12.3.4",1.40955026113699
"42","1",30,"13.6.3",1.84061593978401
"43","1",33,"2.2.1",2.00285084440612
"44","1",33,"2.3.1",1.91553114447437
"45","1",33,"2.6.1",1.8813565005342
"46","1",35,"1.1.10",2.41029948258797
"47","1",35,"1.4.3",2.34442827795465
"48","1",35,"2.2.8",2.03167774039923
"49","1",39,"1.3.6",1.1252404398618
"50","1",39,"2.1.5",1.03005866329071
"51","1",39,"2.2.7",0.926627061668672
"52","1",43,"1.3.9",-0.22758140291808
"53","1",43,"1.6.7",-0.269728150292718
"54","1",43,"2.5.7",-0.200497023376974
"55","2",8,"1.6.10",0.153375322988012
"56","2",8,"2.1.6",0.1855758938925
"57","2",8,"2.6.9",0.21606429424452
"58","2",14,"1.5.8",-0.00704351817140133
"59","2",14,"1.6.4",-0.0388274697176048
"60","2",14,"2.5.6",0.0205968198022216
"61","2",20,"1.2.1",1.18422936995773
"62","2",20,"1.4.2",1.10287430179904
"63","2",20,"2.4.1",0.794407754115257
"64","2",25,"1.5.7",0.740267033478879
"65","2",25,"2.4.5",1.00542559495037
"66","2",25,"2.4.10",0.682620907909846
"67","2",30,"14.3.7",0.569719354920978
"68","2",30,"19.6.8",1.89604960305786
"69","2",30,"30.3.7",1.82514901628465
"70","2",33,"1.4.4",2.04604826187286
"71","2",33,"1.6.6",1.98027469067541
"72","2",33,"2.3.2",1.99460186997826
"73","2",35,"2.4.6",2.02957254230067
"74","2",35,"2.5.4",2.2802231328252
"75","2",35,"2.5.8",2.40383723638339
"76","2",39,"1.1.7",1.18229245520062
"77","2",39,"1.2.9",0.949823926712642
"78","2",39,"2.2.5",1.17714755031091
"79","2",43,"1.1.9",-0.164767430747895
"80","2",43,"1.6.4",-0.164096695558949
"81","2",43,"2.1.9",-0.214201575192981
"82","3",8,"1.4.3",0.251554422456882
"83","3",8,"1.6.9",0.198635070477993
"84","3",8,"2.4.7",0.023328973836266
"85","3",14,"1.2.5",0.373297323157742
"86","3",14,"1.5.5",0.136333206134143
"87","3",14,"2.1.8",0.0441784859045806
"88","3",20,"1.2.3",1.13161574661073
"89","3",20,"2.2.9",0.0893809858745491
"90","3",20,"2.6.5",1.14488374066931
"91","3",25,"1.3.5",0.872228865174036
"92","3",25,"1.4.7",1.11549966752215
"93","3",25,"1.5.10",1.0909098225641
"94","3",30,"4.2.5",0.564777382728595
"95","3",30,"6.6.1",2.02198242790041
"96","3",30,"24.3.2",0.510548726458378
"97","3",33,"1.6.10",2.07312148847284
"98","3",33,"2.3.6",1.62096459963998
"99","3",33,"2.3.7",2.06796835035243
"100","3",35,"2.2.2",2.02598200696585
"101","3",35,"2.3.3",1.73225552213994
"102","3",35,"2.4.9",2.12574230680947
"103","3",39,"1.1.4",0.99311934090577
"104","3",39,"1.2.2",1.12126732706163
"105","3",39,"1.4.8",1.1050861956748
"106","3",43,"2.1.1",-0.308290871803006
"107","3",43,"2.1.4",-0.277240280619288
"108","3",43,"2.5.2",-0.254748996923516
"109","4",8,"1.6.2",0.174850249347314
"110","4",8,"2.3.2",0.158298529782223
"111","4",8,"2.5.1",0.184946066069148
"112","4",14,"1.2.7",0.0396909975027685
"113","4",14,"1.4.5",0.0390828449639837
